D0,D1,D2,D3=B0,B1,B2,B3
68679,17316,44951,17406,81809,64865,34548
32069,28369,1982,17581,1651,22384,36242
57738,53440,83265,17596,15704,74324,16710
97483,58556,63070,17596,47681,96126,51688
27180,57294,29600,17662,55713,70194,9418
57228,15833,88729,17795,18066,24028,59278
57936,25115,3314,17795,75973,60353,79650
81401,19621,45213,17963,20494,53955,29537
4845,999,39089,18035,11644,83697,14236
33137,79789,21115,18065,87499,60702,63601
36078,14836,98805,18330,26866,92170,27186
66276,14345,92207,18378,50242,59389,47812
71279,75160,31710,18556,7036,28858,99096
89344,52579,70334,18628,14655,78292,67754
33036,16823,31325,18774,31885,24022,7835
86050,18786,18249,18803,1827,13356,33203
90319,96908,35772,18916,29908,9131,5839
18735,17004,92335,18916,60372,79937,56918
60041,84695,72739,18956,33846,8941,7098
81128,55996,26434,19008,16955,94013,59267
76419,67627,16996,19058,61276,63462,21007
19068,85889,45606,19159,86444,63998,17510
47255,60227,1152,19270,81431,86376,3839
65538,32859,90355,19320,75708,97971,77848
46675,52950,14606,19379,9252,84229,32182
18321,18812,85971,19679,46737,93592,31896
58927,69779,95388,19818,70735,47022,91957
40573,7203,93544,20002,74937,27328,44538
69040,834,88756,20255,48464,49211,81723
34716,20602,82225,20741,43228,47784,7682
43439,11679,44744,20794,58306,1191,71108
14488,87047,66650,20820,50025,70488,39227
53417,77518,54375,21217,56254,97799,84120
49685,80556,65401,21421,65434,26855,58702
55125,39646,2021,21722,79341,96499,88862
91267,44810,31588,21782,1399,70254,65627
55596,54686,43112,21806,78208,84682,42101
766,94925,93958,21806,9708,16567,84128
55905,40297,51456,21806,9708,16567,84128
58704,70956,8544,21841,40285,33471,23832
13481,49267,84487,21841,19123,31064,88028
69926,70022,90949,21853,38530,30914,57376
57923,7608,86917,21853,42064,96748,47159
46977,73037,67676,22021,66106,22351,79827
80533,71081,67404,22151,84600,32767,52957
81520,17123,47872,22175,45090,75509,79122
30357,67715,71064,22181,29932,18693,16553
97980,38008,53403,22276,56821,19276,9950
47416,33222,12832,22327,63593,31252,86910
18273,10067,79903,22464,3759,49072,31022
117,39924,83105,22469,27559,72420,42523
87494,58230,69781,22568,27709,39350,72257
25514,97672,2742,22587,2772,64778,10122
84190,26079,86053,22844,25052,12969,25399
60066,36341,32958,23008,20948,51337,58665
90552,19279,10988,23037,50119,20847,73588
42924,15730,50051,23106,36103,23107,98665
85470,53466,52095,23304,96249,22096,73583
25252,98945,81261,23462,94687,63157,92130
79517,95568,71246,23588,76080,27636,97907
31917,62853,19330,23590,60841,68733,88153
74731,78645,34997,23735,45445,24502,46196
13841,54670,6789,23750,18670,79525,6712
78657,63647,88548,23752,87864,41627,17776
19631,85161,48547,23820,63406,10505,82207
80900,94004,9189,23972,32166,38925,35302
80900,94004,9189,23972,26063,35540,20967
80399,72230,39458,24011,35063,60006,65373
40342,26389,85203,24064,71007,70381,38232
77481,35527,33194,24160,94018,28732,73053
71027,66911,68605,24177,74705,6014,797
54856,29496,12563,24252,75662,98883,93849
65183,35366,22107,24280,51584,87270,93922
65183,35366,22107,24280,78302,70096,64305
50748,50809,77438,24457,78900,8234,53168
56098,10232,11857,24619,32595,55099,38486
60674,24266,57537,24645,5207,6915,22249
12020,32874,85496,24645,87080,20285,84425
1225,79867,37221,24764,74921,16704,49522
4312,84112,95317,24774,42074,30006,13747
19583,23680,59769,24827,42648,2582,792
48817,84718,18992,25018,87153,51992,28217
48027,68618,1078,25048,70144,82605,34600
11475,50065,17876,25090,92948,35250,86263
71625,87705,69870,25168,53893,69899,17674
55929,55646,83717,25182,28087,71127,287
9849,91077,49582,25511,46147,1161,85152
24971,15886,93048,25646,58629,16221,8247
41598,51300,90670,25646,73195,8529,54725
38170,76744,44098,25690,13275,9940,20365
17358,89958,97075,25741,26772,23871,75486
38058,26095,94048,25792,27868,10966,60271
90511,26041,2620,25911,6740,16622,97841
17854,76112,15164,25931,80801,2661,61113
55341,36304,8686,25968,23826,53805,13667
13183,95416,24361,25969,39476,15666,94858
60131,16733,1301,26009,79108,70852,48459
93345,55962,31054,26113,85833,89025,88351
33789,81752,39023,26170,3028,35377,80865
33464,86297,91610,26355,69954,5644,68433
60302,55883,59583,26355,80085,2286,22837
95434,77088,63178,26531,28290,53456,84434
43019,23029,43478,26582,26087,55646,23754
89467,40150,14202,26593,7377,29998,68530
5535,29540,28073,26792,50198,80841,95366
52329,34736,39529,26819,43048,88368,42675
45857,45399,8308,26973,29686,5680,61101
28899,86902,75371,26996,43718,28899,56715
11315,83068,61836,27000,67137,73735,8465
32191,42650,30405,27012,80839,31903,89144
32191,42650,30405,27012,21779,87555,86443
55225,45018,6852,27234,18464,73380,56472
1354,15008,27403,27325,54561,84250,75932
90089,37313,76715,27349,36845,91325,76200
27669,35204,74125,27397,68561,32474,37467
39240,95595,89942,27434,51640,90613,5404
39435,20307,84236,27555,77861,64922,20649
10954,12595,36249,27628,77778,39858,48351
95601,16008,2696,27722,65553,58860,84432
59534,5903,48287,27826,88645,93895,32665
57913,17268,44111,27844,21587,2757,18127
18262,4088,47513,27846,8351,18128,78960
16768,17425,3677,28082,965,8498,34744
1158,96055,95901,28375,47815,29514,34837
22519,37908,30745,28409,46286,65238,50734
45109,55840,58154,28488,40699,83125,85770
64506,34488,63593,28488,70912,13689,74876
83234,43087,39424,28563,38682,87231,65277
5683,78021,19658,28571,63913,91345,24376
28540,53751,26817,28927,92181,8196,23908
39173,23368,21780,28982,9163,59952,21914
91950,47197,70857,29006,58597,66704,38434
88856,69475,90307,29068,23843,39553,45822
75879,95280,29765,29101,82147,92527,9119
11777,26646,84862,29227,72271,11008,37518
70656,84312,41096,29315,54753,11368,28566
11373,90790,50222,29345,18553,38685,28461
99450,74991,95574,29444,2255,88028,93100
82704,15972,5979,29527,34257,53400,13737
74362,39208,80801,29592,30110,57508,28672
23846,62133,14761,29709,995,51870,10418
20415,34311,2544,29761,93272,62280,78676
92357,65419,37285,29784,873,47230,38044
1608,85730,12887,29835,62621,69950,74360
5460,14660,1237,29839,89898,63868,71077
78368,67583,16688,29912,33626,84682,57754
77583,6387,61738,30210,29880,44365,94208
91453,90419,48469,30404,16283,19996,75497
50333,16454,37304,30424,62328,86828,13058
89748,77979,36455,30837,24112,28168,10127
36358,29656,68626,30850,63112,63447,76615
1231,78130,25037,31161,50258,1856,52473
60640,15516,23368,31200,32801,83399,86254
60585,92,65800,31223,6044,44969,54854
91968,23446,46262,31282,53482,87327,44748
15196,39082,97945,31390,13443,73445,90372
52580,70528,41517,31405,47332,15347,78245
99737,87071,53969,31415,4985,84222,88495
99175,2718,22812,31479,36558,12762,61829
13124,31794,4903,31481,86828,21716,6471
13856,91161,99427,31514,16746,14167,73049
68382,25970,82603,31720,98603,34184,58754
96312,77744,95958,31922,62546,207,2996
62969,18824,69948,31944,97310,97498,25765
31920,11069,95095,31958,74727,33824,87142
31920,11069,95095,31958,75401,64676,86589
48550,55051,80559,32190,21613,88724,75758
28622,46102,72310,32228,71203,33453,85233
81188,72204,35132,32395,44248,76545,76763
44122,41785,376,32468,17534,23190,792
45242,56888,11830,32993,63554,82961,74842
68356,95276,91084,33081,60487,35242,79816
48489,81859,89671,33298,76359,15394,91183
94633,83207,45238,33350,77153,24821,96552
29525,80542,57658,33359,41065,86875,72586
7446,37489,53698,33457,17567,18878,28306
60667,71184,99932,33828,86202,7007,3612
70240,96431,66118,34096,7287,53653,46946
10130,62298,65909,34529,69134,9479,14222
95836,59648,3598,34605,96786,1504,95609
59125,32903,2550,34630,31426,26734,3755
66931,53377,26153,34720,4269,32752,60951
74663,11451,9300,34970,82757,87593,69641
55610,53381,48245,34970,35549,42430,93770
86214,72786,8107,35127,22564,33137,16836
41727,24228,7518,35128,20331,73444,19074
76918,8654,56290,35233,88952,47927,51891
27589,48916,29717,35233,97383,13455,19290
14778,86046,9324,35313,80992,74831,92245
72266,59610,73132,35329,81705,46382,48110
69855,24914,20611,35586,14794,70515,94237
48738,53289,55621,35611,15312,19070,94601
83435,43130,49010,35713,36338,26744,30774
25417,17224,91826,35764,71471,30106,30203
46679,70270,31721,35788,52875,92624,24262
22962,97174,67733,35828,30818,74226,92815
69215,60925,16958,35848,53575,31201,89
66318,29393,42553,35922,39661,5908,88605
8524,38924,76326,35997,69112,70986,74560
64942,53619,59475,36005,95663,29741,46970
56869,54508,78770,36068,91423,63432,66850
49486,51011,15299,36171,35809,15645,67013
96575,21232,18613,36279,63030,50434,98261
60911,95155,98351,36367,23057,40150,38941
90551,63728,1196,36389,68315,22447,26468
92765,41290,36202,36435,40660,49446,10952
46735,80526,90981,36551,93446,60168,84985
63447,81670,72550,36984,48996,85936,64783
39760,66661,18034,37100,22559,5660,47240
70586,99001,42565,37139,85028,88229,58419
80168,7281,20531,37309,14126,69851,63853
54937,56970,37539,37342,5131,99457,78158
49123,26418,81460,37415,32700,94578,45544
69491,27915,58345,37467,32525,61335,78346
90731,25949,24051,37481,77412,94964,73633
88413,55580,49221,37487,31649,39868,81593
40506,35247,80678,37591,73691,49668,21432
30280,38016,14199,37804,87031,73075,9329
93322,55864,58783,37939,2751,37497,7777
49061,92386,92964,38123,39327,73059,37135
12403,11428,81917,38224,41733,7324,44821
96486,56406,35169,38417,70359,27133,98850
7272,18461,558,38633,51655,20796,70189
47618,49203,56651,38633,66043,99294,56481
96062,15599,4893,38736,80406,51522,94635
12569,37432,72655,38766,9041,77083,35172
80799,55311,85033,38794,92345,28946,94832
80416,13720,20700,38819,53387,54791,88355
71267,56162,61931,38981,86731,90135,48902
91218,62118,19489,39018,33847,84184,78875
51978,66463,14520,39100,23837,91041,6476
18910,35268,42608,39114,16300,39819,832
67770,25920,13258,39156,76038,67305,66483
17746,57483,59771,39161,1978,23523,39472
27252,56360,30822,39249,44588,45576,98888
75739,71310,33488,39510,78519,48712,86420
82599,891,53928,39592,9636,82553,95394
85431,29981,14032,39779,23332,13788,60974
15465,11756,85873,39833,4887,9428,89165
8405,89600,37284,39836,12923,27184,88056
22881,91540,11512,39836,21254,33796,7434
39952,92087,33763,39849,20001,37949,61560
88675,99804,22465,39950,70963,34446,2006
88675,99804,22465,39950,82808,94347,19987
53677,94040,19898,40042,35004,79695,98831
23228,77200,84433,40253,73964,97541,89549
22077,24000,54103,40302,59668,21903,94805
71379,37548,75086,40336,56227,43863,47711
4834,54133,597,40382,9769,52831,89142
89183,1361,96666,40439,92130,58811,84401
59302,53322,38317,40654,6967,16545,3050
60023,2008,13763,40689,59851,60644,61853
9119,90340,98901,40747,15484,34711,991
45070,62583,68831,40958,94087,89798,70690
62105,3618,84757,41037,8105,70820,29449
72447,38277,47066,41060,87505,45095,88156
45327,80806,68249,41072,39401,62245,94450
25773,72329,61254,41072,47782,74189,31265
71063,81613,64895,41080,47782,74189,31265
66564,71817,56190,41133,42589,50274,4046
81482,64003,16535,41340,34608,7411,15797
2463,33355,2955,41397,44575,17376,9895
74054,92412,9960,41619,87698,42470,28492
84826,47810,29616,41728,87910,65034,50695
75265,45286,27261,41773,9518,87840,21970
54150,98462,43680,41773,13916,13661,11168
61747,27944,44217,41836,13249,20694,18727
28459,54748,36995,41836,10092,7683,1876
62122,79295,52999,42010,75683,1658,79482
92827,70205,32680,42058,66815,65985,77531
55633,20444,21909,42094,69765,15557,97413
74671,87881,76447,42162,66269,24392,11901
81944,94565,41256,42200,7262,19472,79926
15260,4798,35581,42306,17598,4101,18397
82373,34146,66485,42306,28343,77316,10379
75307,7364,40015,42490,65728,15564,16928
13740,2479,42148,42578,77749,21202,70643
37447,42241,14579,42602,26419,48678,77506
1155,48152,78482,42629,46418,26816,43782
78086,24338,64042,42640,67597,85117,44116
43520,28393,94719,42698,32721,57542,7365
2283,76808,30846,42920,64233,71019,35490
36066,48183,95707,43050,33332,55226,15181
7628,35641,6520,43149,14457,35723,96696
61959,85338,866,43268,52708,87200,36387
26533,36685,86141,43370,9329,50647,40877
57073,54364,57746,43492,25002,17991,42639
41980,42958,61174,43504,9131,88413,70475
4310,3887,39217,43856,98599,6853,77237
46551,80616,91972,43898,6800,96774,98917
70612,92674,97311,43902,42618,98615,1075
17629,64873,47236,44139,93863,37535,39239
99168,70185,40964,44155,65225,91017,98895
37316,36516,78289,44224,15955,99088,26597
53086,79177,35403,44380,35732,90690,763
45983,82484,89556,44427,81869,97813,40910
24727,90441,12357,44458,96248,30041,86312
79498,23958,49881,44555,11557,42380,45500
81282,68795,8306,44558,76454,88943,61881
34697,35550,77145,44565,48479,77896,83223
64179,90805,82207,44708,45274,9019,20025
98874,94541,79016,44787,16573,77959,17745
95363,74456,80096,44787,9215,46040,63192
54544,66311,60681,44840,1378,4491,49887
98205,69622,47756,45047,33174,96043,29065
17375,35866,59474,45085,84527,49926,56750
48021,15583,65394,45240,97205,84460,74286
39442,44658,13328,45242,27754,26672,89103
79447,24770,39026,45246,30849,80298,61382
15506,45841,77655,45256,68996,43925,87737
19080,8406,23875,45256,94452,53884,5433
24626,78460,31506,45700,99843,69248,8174
46641,89318,12439,45710,74941,47997,44974
466,64546,65135,45747,80975,95431,5610
92778,60827,73941,45834,61852,11254,42548
1330,64981,32539,45840,8760,38455,98320
2168,3756,28100,45971,53962,90526,2358
43666,3160,43829,45979,47736,4702,77007
79328,1888,70595,46003,53684,41409,26050
55133,74940,4542,46007,79477,72272,23060
82534,3572,41640,46178,49104,66974,8624
2770,20212,53919,46178,62973,84954,11966
86063,39344,99135,46238,92172,21786,89353
58446,25207,85072,46304,16400,66552,80933
46731,86236,3749,46388,45505,84427,9346
29951,42081,58370,46604,91259,78787,24457
24797,75552,99995,46759,75019,38518,15794
52418,55514,14073,46943,26315,58403,87140
42479,65847,39484,47143,56077,16652,40428
56251,55994,6821,47213,42821,95730,82843
60859,51848,46835,47619,55687,87279,19893
10705,68487,85440,47627,43330,69494,21527
86062,18487,62735,47779,63308,41740,58480
31798,98059,90492,47846,19279,27731,98270
1824,56745,62328,47846,61971,61671,38182
12339,850,46788,47896,29525,59718,48329
12339,850,46788,47896,28551,23705,84948
73168,3009,28919,47995,78729,45661,6199
32871,39146,2102,48130,7613,54512,54935
70361,86936,66214,48555,66691,82543,73341
39772,8523,99092,48673,21547,70100,84061
18850,75779,63668,48763,47476,26953,17906
31626,17012,7275,48899,24339,11714,87216
93194,41842,19173,49020,76084,43418,75308
64264,94102,70216,49020,96674,95639,69637
66607,42034,5141,49111,96010,80249,25295
21075,46440,97415,49115,36774,28898,64673
72715,71553,90866,49438,30385,37640,96254
41743,84960,43791,49570,87918,7591,26446
18166,94808,56550,49793,32620,87366,41934
43554,62402,69807,49793,22585,4459,47636
38656,80944,72138,49884,85356,27967,76051
67564,21521,35887,49972,28266,45549,48356
31801,75140,90316,50026,32325,91861,94307
60891,37744,51682,50048,9929,6398,67067
2615,8932,4841,50050,46894,90626,54618
77155,25137,70421,50063,93732,61974,21829
31261,31582,95485,50063,78192,11621,42370
53107,48038,97099,50244,3354,8856,33905
18520,30256,79808,50263,57677,67093,39155
18520,30256,79808,50263,39649,39041,14548
21354,5681,72906,50339,74418,90888,1776
19871,9255,78223,50343,36543,85507,22030
9031,79989,20243,50510,95663,39018,89320
28710,14682,33602,50524,99693,28382,61258
33833,19226,55587,50569,10841,21369,11623
66731,25303,85947,50572,52963,26119,55381
48101,33034,6663,50610,41586,64670,87191
68264,76703,61274,50742,96657,55484,66524
76288,24647,35490,50829,86994,82380,28147
13679,42825,69057,50859,66935,48594,64916
88264,28117,70133,50859,88153,41387,37877
10851,81094,81831,50886,31121,27330,75759
50648,18618,36053,51016,694,27325,89331
32034,65262,95370,51082,52609,16005,424
34881,69512,42121,51156,78163,87436,52670
16226,67821,88088,51179,12032,19773,92899
95128,62184,64158,51190,26985,10659,14741
66631,76798,35835,51259,62488,26377,44880
49079,26511,11544,51274,79646,29221,89549
21436,74622,3071,51422,84314,39008,22327
76231,21972,98373,51458,43207,19019,51878
89824,36267,20487,51732,14730,3126,93186
78651,21583,45312,51907,15345,87283,14414
40122,98448,60201,52241,80910,70651,1447
96715,96655,5263,52244,49462,95292,92430
41672,60173,43846,52268,55482,17620,25905
56435,36726,25178,52282,9610,34208,93905
48862,22545,42423,52297,82936,24057,92579
48317,26928,95800,52498,45750,89888,87011
40508,42919,3191,52663,45051,40747,8179
4809,80526,8263,52749,74231,54672,50916
78849,11882,97132,52963,4660,69016,10793
50740,47416,53921,52986,10952,16732,82604
37504,96020,3400,53114,80148,71790,35975
37884,27779,59518,53147,2617,77440,29280
86301,46950,9027,53147,96608,4430,14375
27811,52304,2735,53165,65507,31809,45258
91664,37620,57581,53456,55091,43010,4362
63566,15714,26439,53476,53109,52558,71125
88271,74151,87964,53595,67160,84680,90490
41108,19152,53867,53688,42980,99446,32115
61604,62380,29321,53809,98944,93535,37076
3618,54630,54363,53862,88198,17167,45540
64657,92585,84408,53962,33094,45843,9813
59709,26569,27865,54046,48209,30959,16083
61577,13831,76166,54152,10928,218,68790
37603,9983,72651,54207,2628,20579,86905
67493,91966,56509,54442,64548,98415,45186
40331,38700,78674,54701,85353,61889,98491
71034,25395,6637,54733,3964,47128,97328
98544,47368,36231,55091,56592,53346,35174
43801,94542,96537,55468,79241,30531,6534
20741,53828,12279,55468,51867,39675,33571
39694,26671,33532,55586,53161,84439,15736
21525,54458,80616,55941,88426,60658,88641
3200,67684,1542,56005,65290,44868,61944
24074,19144,66449,56041,41385,27773,68197
91540,86353,27143,56133,63145,88585,18497
17661,11128,23574,56185,44386,18586,39466
74436,73225,57523,56189,89076,10370,84495
5369,45823,47541,56337,53969,80982,86932
17303,26646,91944,56385,79468,36960,22538
2118,88298,37368,56385,96929,30014,29025
88322,83713,25474,56449,88518,81770,40032
8346,92002,80933,56842,36909,19737,57876
23381,21094,26135,56928,98228,99215,34792
65842,47537,28971,56994,32397,20155,15185
16197,91317,57297,57053,26387,42631,73155
405,425,64304,57185,47558,64738,58639
34743,5748,55436,57285,38023,94652,92397
74390,20562,74967,57574,6344,77259,41149
87800,97665,98036,57656,35691,86187,14378
23512,92466,78646,57743,74039,23310,17194
10156,21665,64635,57951,30092,770,57508
32413,44860,5782,57963,30753,98157,54423
9989,28833,5748,57980,57643,52452,45721
76145,84828,90560,58180,16447,24892,90002
61770,89752,19856,58227,38619,48704,10381
22746,89171,16234,58227,6105,56526,36060
90781,93497,55762,58568,14531,12471,47522
21500,15447,11913,58674,23528,9813,23795
37852,87757,76280,58846,18249,95167,30652
97101,76527,98933,58871,85484,17077,8650
74872,52684,80895,58871,49273,82951,23943
78663,66470,74601,58871,49273,82951,23943
18372,38245,79642,59023,83354,468,80283
5555,64892,65862,59027,29435,28293,46021
75141,3380,4316,59112,45040,8700,71582
16317,49717,36082,59194,13728,26568,76868
26171,65005,6495,59317,77354,78467,44408
80481,40020,60359,59411,5721,57577,35023
71025,78452,39983,59477,33532,35133,45105
86708,22455,20181,59477,33154,16412,69912
92068,34477,18141,59615,22639,79063,82463
95755,89968,16215,59697,13379,20239,82010
84172,33259,15035,59793,67109,58920,43888
8749,65725,64983,59892,71026,52308,79641
98349,12009,11389,59968,20066,30451,90650
63804,29427,20769,60239,13116,23313,10228
17493,15287,44164,60383,33695,96562,11798
