B1,B2,B3,B0=D3,D0,D1,D2
78492,28747,48627,17771,9279,27949,95644
69214,81905,84588,11047,27315,63213,56140
6011,72944,63767,26555,67837,37267,44340
83824,60565,97965,82579,58173,42799,87114
5532,68486,73652,45307,44448,17506,51443
27880,52734,93582,7168,74467,66262,13540
57656,33505,17088,31171,47455,22610,51624
94871,22770,59503,12443,15057,12675,55391
30735,20329,46016,11900,98929,73628,13817
8296,16497,99906,20972,6153,50633,23793
71558,46546,61858,25607,66058,47968,19716
82821,13474,96231,67012,81910,93893,63000
4366,54634,8638,13570,30818,81145,26238
98159,29184,28320,51771,60241,47985,50713
7269,2056,80955,33224,79424,65785,68960
9429,96997,78263,86510,31291,7505,49838
69516,30375,55823,35701,38523,976,11980
13362,38071,6676,75554,22432,35747,22808
56242,44013,52206,17187,5972,13683,35307
19645,89663,59872,77457,43450,38494,74724
31206,46280,55054,95213,49512,21338,37917
94871,22770,59503,12443,6366,53322,89770
86618,44234,39368,5486,93411,8736,28998
87794,50115,97733,3133,7588,73997,62944
12859,1878,43758,28633,97229,87176,63303
79690,58439,12253,14028,92036,12891,97560
27269,96607,44495,2650,552,16470,8306
32265,68553,77882,92039,34846,37861,21666
32784,84468,76382,68812,4488,22923,13723
47897,20793,89388,45677,33417,33163,19301
57656,33505,17088,31171,88699,75813,89966
45563,85513,52812,69569,27531,52807,63976
42433,40841,1216,67103,99624,59885,38149
29006,87232,91525,82043,80692,24905,89066
4366,54634,8638,13570,69877,66660,24459
82821,13474,96231,67012,21305,33098,75216
3643,90248,95546,99086,26072,89873,79515
67395,83727,12136,78095,51050,74589,45783
43561,32418,38351,75590,83798,82543,55768
27880,52734,93582,7168,1866,29835,73108
77828,55248,58288,53263,93606,78794,28316
92272,14027,34698,49582,19909,59858,14079
32383,80011,794,95958,17039,73947,66177
20213,81016,62718,59455,54845,37913,15197
69214,81905,84588,11047,49636,54346,37556
45453,42590,90062,16672,74327,11965,5570
14701,69140,45027,7872,10863,9522,69403
62853,45902,77493,11863,51212,73202,84273
97144,44903,36037,63015,6771,82666,63119
12518,43333,4427,88352,19578,78555,45867
45453,42590,90062,16672,85769,18257,82919
85343,33856,93029,53765,45153,12398,67416
55699,5802,1627,64553,89349,15918,4124
53276,921,45295,35465,84569,47173,3001
40876,21505,82514,96766,4205,54415,94394
43163,60825,71731,8333,10940,24394,71407
59742,7067,32031,60940,6386,99440,44416
60128,84142,61217,67101,62222,23087,21991
10215,13350,34096,73378,30447,71055,39176
88560,34716,60415,60499,1885,82338,92696
68226,77592,5061,34101,73587,92069,36722
16813,32179,78075,11233,11661,87924,8796
65817,19246,73914,31521,13417,99419,96321
57149,42202,90392,61306,1001,95555,86823
66248,92516,28616,41429,40909,55056,73697
57591,70029,82546,92410,28087,22990,73882
90239,8421,42508,10363,24476,71550,50639
21332,42578,29205,63151,87554,14160,79604
73180,45910,81830,54541,34946,69792,81464
89181,87281,10907,11927,11073,42126,88151
4231,93508,76861,98557,58695,28333,72708
30226,54783,60877,98752,62185,25436,45757
25659,44560,32413,47706,13660,45120,57035
72120,73399,4327,40494,5799,60793,27678
31556,68683,79741,90881,77665,21491,10591
87864,87739,89688,7088,88686,38076,57852
44949,59784,17846,82721,95929,19216,85316
35342,52111,89251,2412,55431,56477,98782
32668,62487,33188,67181,1259,12033,1823
74753,83872,98348,54959,25789,15655,57953
21332,42578,29205,63151,55995,6836,27477
70182,66710,21792,44482,64329,44251,88671
41450,39841,20155,125,35767,88448,74816
44485,1237,36976,69259,94393,43024,23212
39931,57656,32097,56855,86283,77319,43715
46020,8214,16620,99747,25956,87972,64963
3780,11426,80200,67200,88545,22255,33706
32727,66649,18538,58244,9306,21743,43569
9067,50992,85081,21569,36670,24067,74704
72120,73399,4327,40494,31044,66201,77512
26066,96739,4700,1538,38513,15653,40837
31565,37007,88424,55409,33014,57363,55129
10215,13350,34096,73378,48984,10529,91227
43745,75224,22167,65771,97772,46702,42549
68125,33835,82663,83799,7574,56072,55520
88890,17276,83104,39899,319,83568,23213
73180,45910,81830,54541,64524,84900,45910
78584,62928,468,85291,99940,47100,86939
4163,14030,98798,21495,49155,72169,80229
88587,28608,96567,77551,47882,21675,45956
13988,28452,80320,60137,65673,84128,62062
89181,87281,10907,11927,7791,22733,54382
42763,38120,3918,19561,5391,98059,63249
74829,66692,20601,84097,6303,46384,34935
13988,28452,80320,60137,27732,24232,37402
15461,28296,35474,53315,77569,37580,20051
75783,45857,51811,23731,35650,74945,67389
74028,91507,26535,79196,74338,76282,72019
84260,29117,43670,51599,70615,46377,78045
89908,28173,89646,47169,37152,46990,79944
2387,83505,17945,84772,67451,3323,32965
50422,42107,33258,79219,80495,77393,58930
2248,26771,98489,50236,7417,3022,55032
43738,90507,23915,16018,55282,50423,38054
14551,90275,63560,65580,64857,17051,19929
76651,67840,74754,89831,74097,64202,67837
57808,5297,40628,80691,26434,26186,44077
30955,89276,16441,25831,53963,173,57018
54492,84873,96021,52889,18933,9877,38905
6440,61978,15749,63277,22129,92082,42108
92825,89969,57682,9028,82188,73715,12171
68576,58023,77501,36164,93429,15532,39753
68351,52441,35206,17336,21649,45993,88452
7834,61391,60292,51755,92896,43136,42053
49407,29543,98043,15007,7850,19946,8864
44451,19360,62673,85572,79918,14035,23090
7495,75167,22737,33511,83363,11779,79860
97027,38355,74476,41366,75725,40785,3771
24286,86006,38885,68715,9241,55458,7446
31347,27134,95646,15542,22284,91283,24317
1648,55056,53853,53446,22005,18184,9478
65187,59145,72791,78409,26023,11277,92766
69924,1111,45897,58143,7763,7533,86664
87981,1948,60479,18605,21152,65446,62049
95156,69988,68340,38857,66627,19455,80686
94688,37409,31618,44966,91766,31222,22539
14050,72242,17201,40815,71911,83135,3949
93763,12969,45056,80459,62630,24764,42659
87981,1948,60479,18605,48943,20814,97094
43536,30313,2738,39599,26085,45915,68054
88247,44087,11473,17565,80769,99802,37593
28914,65665,36413,84620,48100,99628,52041
59565,2725,57165,59373,20054,85382,30380
86062,90602,51281,19174,19238,39110,70427
49625,8690,90934,41218,55546,86247,81792
68576,58023,77501,36164,9426,60960,71424
69924,1111,45897,58143,2096,27523,33946
47397,43950,12146,53111,14131,8011,29133
83814,69114,59859,80591,48463,50489,85351
6440,61978,15749,63277,46135,28780,61736
5636,81452,5043,5998,73912,24276,19677
94688,37409,31618,44966,15753,55571,9626
84475,159,32190,23783,28341,58645,29145
38448,75125,12685,78806,67038,5101,60722
88899,19621,79160,52943,65464,61876,17613
60722,61083,36848,49922,52979,20528,20389
14050,72242,17201,40815,29733,94263,87724
47090,86150,48229,62654,74401,27993,45096
75354,66901,65463,89927,57263,38064,86988
75244,34477,22989,69498,13512,77688,9524
88553,70833,24129,76471,81161,33874,48355
4192,41156,8521,25296,40774,87805,11373
64952,90752,27529,58504,25904,52677,95007
38665,17042,1020,47158,39718,13974,65458
54482,29920,56574,20242,58932,78693,36389
53517,89524,37975,69231,14944,1480,49525
2479,81659,95912,62520,67988,71199,87134
76956,38947,45776,60081,28077,50512,66802
60517,562,73914,91948,75520,40447,31586
75244,34477,22989,69498,57961,48703,42650
17696,95596,47196,81876,46694,95378,35218
48422,93881,52078,58481,59161,91969,68621
36055,79550,58702,37785,13657,87171,83973
83248,24738,15518,94795,30602,56598,69923
24383,76286,35220,77707,3482,77006,80620
22528,14415,13917,27257,96820,32247,32698
67051,64525,47124,14630,88832,38016,72002
93268,47024,73160,4442,61700,8902,58845
2479,81659,95912,62520,51562,87585,31525
62848,73861,68299,33962,51470,17395,2636
27948,6594,30132,1222,54576,81888,98172
18745,54126,60798,88140,33201,33524,83793
8952,74485,6688,72783,52619,17095,31831
77824,62911,25390,99222,22401,2565,18362
78084,16630,73047,91315,32342,35606,71005
4595,97016,49179,77299,79948,7736,11138
15982,61893,28283,65674,91967,85466,83982
48422,93881,52078,58481,65984,7089,3206
82185,81968,22728,54147,11260,22460,156
62036,30523,2543,5756,53749,8459,11056
75244,34477,22989,69498,815,3846,12660
81727,54017,37862,86015,62311,67097,41692
24383,76286,35220,77707,72575,69811,81231
33664,63640,8804,84201,69262,41056,14100
12672,36976,55653,95743,61540,69852,82306
90764,29691,49850,94240,50833,73955,97609
34608,43814,66351,16379,39119,57819,76631
22528,14415,13917,27257,51850,51567,59577
99524,93947,10008,79840,86341,94943,65773
78844,35973,23302,88973,24328,20621,10431
81484,97625,74845,92117,74966,5876,82245
85144,92507,65482,34594,3635,55702,2366
75679,59479,34890,12240,52825,83534,95706
93491,61370,58272,42712,56848,99227,29962
98774,44886,15767,5563,76786,57001,202
25742,69995,73505,95690,93111,72643,88157
37934,29080,36448,46874,9292,87244,67664
54973,95043,8772,43087,78517,75868,58022
15247,84583,22303,80154,60088,19116,59434
6188,76955,84594,51440,68325,56313,28856
76140,60769,46275,52311,69828,30265,61399
97262,80739,85663,76426,50559,16548,39901
42480,7549,27655,80064,50677,94933,40749
3955,53689,50016,84564,69602,73355,99258
21280,82944,26224,39394,16053,31419,87339
7098,22269,89684,10870,79999,21844,18074
13333,79809,60620,69923,88657,57027,331
64632,46747,33819,89624,33472,58907,56231
30839,96499,14941,40837,24774,88147,96565
75807,57441,89495,74908,12543,56075,35673
47398,70645,13522,66824,32025,98570,75557
41312,48594,58896,9901,67202,56298,49255
81262,41061,59999,44946,19946,27872,16110
46305,77899,90876,72503,96375,74817,23280
64632,46747,33819,89624,88922,107,21204
40818,56292,42829,98992,29491,8820,39872
7756,25875,65888,90661,14668,34520,82319
9956,54515,63467,26682,51008,47251,82793
53093,92142,28862,14336,34832,73484,8896
28467,95505,92856,41860,43565,4765,84663
81493,28720,46156,43690,53664,20261,87370
22567,57721,32822,20897,92680,7133,52681
65418,66337,89015,38433,56128,44536,11488
41028,77102,59966,26399,36637,21494,39621
85624,15313,36168,9348,76508,5316,89617
73494,29838,46058,65644,10832,27963,35089
4793,14385,33118,83591,67684,8383,99875
57083,16593,44363,67492,40896,88688,54765
14497,68704,92284,82739,4296,49325,17980
40198,74508,13989,92087,53447,11617,81140
92201,14393,60874,78095,51050,74589,45783
6434,18465,61024,45198,99207,83482,51126
69546,93561,58954,10650,31398,84740,92228
22723,35213,84037,23015,42088,79,17948
48762,42945,18626,14124,99154,91431,89288
54973,95043,8772,43087,32464,3701,77888
55367,55070,59787,15667,87950,50245,77669
99953,65563,94504,1091,93702,83870,69713
11972,57904,79328,96089,97953,16032,89039
79328,31332,6970,79198,30958,77376,29105
80737,37067,604,72056,28280,60830,13803
12836,98480,83172,64528,94242,23782,64091
56311,3671,47661,8125,30833,3673,22957
42908,65684,21107,54127,90619,38921,93951
31823,75186,69814,49007,41313,8284,67592
58234,79263,33345,44853,45383,69140,46578
86566,69429,3610,17692,47227,74047,95443
49135,1944,27673,18557,65217,50183,78491
95580,97666,93267,95584,65363,78431,42367
38999,94531,92077,7230,38419,32308,17876
28378,53125,9585,70883,20110,12398,18631
79769,87013,27771,29077,4583,7354,68587
46030,22204,45598,81603,92534,78021,82560
35080,67299,2781,43333,34346,15321,57146
61479,20361,23106,17128,82048,76412,7675
71725,31069,45446,96420,46457,8906,25627
82141,73281,95486,17428,26410,22169,99201
23193,22191,43804,46202,21581,64703,71945
30526,6711,39165,96262,30812,19545,28855
3575,40988,20681,34807,35883,19452,22831
91332,60796,21164,10700,88552,5386,48366
33617,80736,15632,6596,51664,8014,94501
95580,97666,93267,95584,37522,68756,59914
94405,93474,48582,13739,80655,68858,1850
86573,28313,65467,58436,71050,40831,24297
82141,73281,95486,17428,74370,27945,94695
49135,1944,27673,18557,4176,53820,5623
3603,22795,35131,9243,48313,8396,89296
58872,64371,50868,13142,58425,64624,88557
50754,90897,84718,54026,13647,7349,74242
87494,17101,14143,64157,56928,13603,37929
21509,15296,75287,33361,14883,13831,8797
59755,29663,60773,72811,1726,98955,51052
59760,57336,61778,72576,94932,27550,59440
77554,39555,86311,53340,64831,56382,48812
28530,19131,58388,90392,87995,29690,40741
7327,59634,21286,82275,87723,35900,84000
60896,70833,63706,54663,12877,51794,87539
3575,40988,20681,34807,81854,50197,26868
33094,55857,78618,52624,21047,84068,36990
77172,4465,92025,81627,3050,30798,51866
38610,45491,55657,73373,62874,56769,35115
80099,45805,25726,88279,22289,73162,47186
33543,74532,44363,87062,80867,65272,48321
40256,5225,74517,74147,92019,15429,43474
33543,74532,44363,87062,25687,23318,33628
54191,25443,1217,85010,73728,40316,89487
79769,87013,27771,29077,42461,26166,95907
85425,47677,16745,41096,13328,77492,3845
49135,1944,27673,18557,14471,70846,55158
51860,23190,63557,58581,73048,41390,73242
97939,48068,18035,22791,13859,45542,40576
3575,40988,20681,34807,76773,51221,22280
35527,60805,24990,50099,46751,43916,44462
56311,3671,47661,8125,65242,87025,89878
79448,22620,57845,61449,95624,36218,41480
48386,59696,15149,87085,68931,89774,89104
16406,65839,18166,92005,71190,17391,78391
92354,89476,95274,17141,47083,71573,55416
42821,91420,19568,46101,75785,87085,78016
83685,72544,97400,44380,37628,80016,91776
72362,94498,26948,88167,55660,259,77868
21586,2108,61865,69658,96298,63668,50898
14557,63168,40272,689,86435,86752,14066
28494,54644,9018,87295,73329,85461,79301
52399,39921,92439,20616,21316,81687,3575
26287,55657,22784,18182,11204,57741,46337
42429,7857,9256,69352,45952,99763,56022
15319,90578,8302,99799,64595,6005,63244
26695,3892,64980,22314,82773,98838,42655
42323,72890,10064,47715,39909,70789,70539
76432,77389,51468,47948,1801,74058,9481
65858,66072,67323,45634,3580,15761,89860
35160,66543,99560,27310,90125,99653,78454
9586,14772,15727,76042,34466,48948,74733
6181,70564,56118,58024,13559,68700,96095
21411,35499,64356,36984,16192,69675,40603
19717,71726,7962,77641,49271,71780,11080
19388,17324,44442,66971,23781,70642,97686
89448,94333,70935,8203,96745,37675,24633
21411,35499,64356,36984,20518,38902,87107
19717,71726,7962,77641,12765,97000,78678
19388,17324,44442,66971,77457,28521,80178
68440,39582,39181,2333,74974,26096,23144
36829,28667,91847,10750,74502,45385,92655
10789,42826,3603,28700,12109,16289,85867
80537,26479,8262,16719,97811,89827,48368
27541,53898,72004,86839,45239,44665,25505
36013,66502,36934,68513,80447,38430,72331
22649,52088,70739,779,80871,65134,76645
38080,70740,38838,3109,36145,15785,77301
64451,32279,90218,54868,83824,48731,6757
60875,95568,2117,20882,11758,46863,79744
89962,32413,79793,95841,94150,76522,22167
48513,21037,18761,87879,39185,35059,74268
42616,31987,35584,45628,97585,74761,57058
65295,61709,73363,47660,8716,67155,14791
73840,62700,20235,68527,56377,24658,9380
99146,75760,78860,69142,43630,74969,36221
15214,15902,25445,72514,10577,54083,67034
59253,28259,64819,32059,2744,14530,63454
38752,21273,34479,35692,23435,62699,20944
41814,61255,63365,46391,33046,60243,32414
38752,21273,34479,35692,40136,73116,89867
99146,75760,78860,69142,2675,58068,98308
15214,15902,25445,72514,66260,91162,71215
28494,54644,9018,87295,31622,25855,71601
85483,40210,82889,33873,18557,57468,25275
1981,8684,89428,81669,75129,46763,93443
10894,86281,77545,8246,37414,30051,52814
32121,81152,41437,74822,2813,37957,40734
90120,13513,8603,59683,23612,72305,96641
84018,41323,45957,8263,87830,76443,7966
9414,76760,67417,33576,8437,99937,43219
49648,59191,57906,5891,93968,89415,69240
18917,59982,8577,52751,28228,69204,62836
15214,15902,25445,72514,95493,18612,22399
66824,41475,99754,45216,64733,37623,39948
95013,28904,39677,66124,22761,86215,19301
68143,6068,17457,26297,46457,7520,46312
17540,54025,57275,71872,43785,54982,14516
65572,45822,57046,50469,8416,59215,32788
88804,56504,55157,91234,50203,54958,57828
552,58444,8920,19819,71119,65835,43345
4643,59546,42600,97076,32481,76800,3511
36654,26448,50543,53800,12922,81298,32483
44150,4926,11838,46933,37772,3981,91925
5386,69449,67907,34357,51865,42098,463
87901,55792,66624,49994,29029,96673,53902
76937,91398,90709,30199,30825,79551,72668
91936,24189,54794,33065,79181,79471,56546
42741,37284,50782,62653,49736,68488,36201
22109,84724,89971,78469,44236,92033,32833
68072,24284,38604,45534,59331,63024,54439
6349,3614,29906,40328,22216,9055,53673
56905,8226,46513,56415,57725,96079,54728
35264,17472,98978,99095,17200,28780,17747
96774,33731,20199,48525,79737,87731,64791
93545,40538,12256,43199,92779,75134,16925
22513,27827,87427,2737,72020,48085,96503
91598,75649,71406,84382,33873,79150,64934
25062,61854,31754,52480,47191,89582,8999
29513,62475,17061,37806,64605,91542,74893
73375,69738,72927,48208,55738,14156,60016
92351,80289,65734,48208,55738,14156,60016
33581,56009,45286,20493,59702,8987,68751
31298,79592,96627,19331,99051,34688,40177
16207,47853,54475,11616,55737,58353,49414
48553,98668,98768,36857,15272,75991,7826
35431,40202,12117,84215,48126,79125,33717
85599,57715,27882,84462,53735,71581,61866
25062,61854,31754,52480,41792,19231,59358
42741,37284,50782,62653,41184,78273,77370
37346,50237,485,13506,640,85414,22200
62589,70920,77241,66099,79595,12888,93424
39970,99018,90137,7970,12965,13510,69257
56905,8226,46513,56415,4427,18765,20515
19085,25986,7905,87948,20578,15277,46474
96774,33731,20199,48525,2741,23700,33126
65796,28433,93423,19994,77235,2615,27599
88566,17178,18871,78200,51338,16687,43257
26097,83198,94365,68540,82004,90819,27843
34011,97303,46991,1967,29298,15190,77580
327,23487,66889,33772,3902,51024,46067
73090,11098,76038,95045,77807,42279,9381
58993,86220,5906,82705,42860,94180,86404
15126,17740,91815,5262,25442,67478,24293
58960,23771,38522,10239,87642,64327,10254
28165,4215,18991,62202,31937,14503,66500
18926,18559,52867,31874,74676,47102,84703
25301,63426,28593,97491,7391,27647,93406
49105,55649,40920,59213,25299,23821,43877
89827,66823,13675,45360,10403,4157,91604
87136,6798,45611,76352,99559,84929,66357
20928,68791,70834,53843,18255,75552,12360
4640,11719,42902,84518,79188,96720,35418
64485,70119,20664,34101,73587,92069,36722
27751,8472,68597,70216,42860,79550,38020
76409,6456,47767,22380,32203,76841,96029
1467,50435,96472,75681,5308,3207,9886
73964,35702,41255,88012,63838,92028,1480
4640,11719,42902,84518,75235,54311,19899
76797,88671,76557,23710,66659,38151,86183
57394,74571,65267,18855,29583,67981,19211
84196,92239,27947,78694,26689,7057,83309
15587,33960,45491,91806,60289,8890,93774
91392,85025,73071,37395,36386,19684,20762
20805,25429,34551,65482,30196,9582,16182
43595,94422,81515,60922,21981,68358,9730
78380,50567,51857,62005,36998,47054,23026
36931,69968,48244,67180,84142,42217,11594
97274,14773,15497,44755,62009,14406,60058
87547,63722,16630,71168,40750,54286,44554
76342,38252,94820,28508,44938,38715,29220
1722,73986,45733,20454,79380,23376,43793
15435,74070,90629,32487,54196,42587,3076
92,61278,34140,21060,13461,87375,81254
90890,65937,87761,61404,61637,92119,86393
8842,14802,43925,2151,96704,69207,69927
56553,81726,82249,82310,30575,25942,9677
58185,73343,18253,11342,77042,97395,62379
60232,91963,2513,66281,27598,85211,70182
56553,81726,82249,82310,13426,10032,64995
76342,38252,94820,28508,31525,32406,54418
28070,17189,6888,19264,81715,99425,37275
44088,65116,43911,77613,43335,91403,69314
11933,92954,37201,9582,94342,10857,38370
62201,1146,97026,5366,84175,80806,53408
63163,35582,60671,91452,54891,80573,20402
15624,59738,84229,64898,91038,43888,78326
5093,24128,47129,49198,44855,29819,30022
41526,75180,40096,49026,93335,5651,48796
5076,5123,79257,56195,33567,96984,52890
75722,91375,3766,1180,37628,45660,27066
75663,62198,81382,27949,49285,99589,44022
18926,18559,52867,31874,17278,44635,28493
56553,81726,82249,82310,12654,11084,553
87074,23686,43022,6025,37558,59792,59122
60232,91963,2513,66281,96223,59842,80791
49362,9121,24276,57684,62521,99445,38121
50147,51443,62803,20599,52119,62060,48804
26483,70442,82764,26654,12644,41337,91520
1467,50435,96472,75681,43662,3515,85342
13443,90911,59181,42790,58625,1606,75765
89827,66823,13675,45360,87891,23392,47899
94447,5152,7125,61966,89780,75581,57895
25885,81563,72538,32578,22356,77150,38060
67636,78091,83794,42824,50895,59801,23189
47168,90539,75512,36328,36589,79537,90879
79191,14084,37334,44115,16563,19430,38679
84391,8639,81542,64836,62254,92681,36350
56219,88485,30183,85982,13971,8387,11374
97881,11298,21450,34431,27210,77098,66959
68638,80129,36702,42826,79818,45395,91781
2642,77409,85411,24830,3602,85997,36127
25805,34822,86018,42237,8136,30772,93148
42465,74957,95965,9693,73173,29270,59069
94543,32277,80792,83903,72019,19902,11674
22726,36598,9891,66217,28966,67174,24666
77810,86645,43702,88997,60670,61589,76823
77810,86645,43702,88997,24021,24156,52599
54396,86822,63370,56160,24028,88547,59925
85880,8763,89963,622,6565,44177,73280
93057,18698,71086,73816,18833,54079,38863
21803,19536,62629,62276,24905,28832,42022
77810,86645,43702,88997,15105,96879,38206
83826,35777,7032,76042,34466,48948,74733
51747,56549,93711,87678,37247,45626,7858
67636,78091,83794,42824,1289,17675,71575
1549,15030,23800,97577,34771,73343,29099
40744,33716,79955,90797,76144,97918,90475
65044,63978,38043,64686,31560,3129,79885
4331,96331,26614,25467,34592,48701,9847
89482,8316,29925,9462,81313,10776,22900
84391,8639,81542,64836,40097,78838,11711
76901,76115,82406,77341,4024,98538,92897
85880,8763,89963,622,6785,97086,99480
27429,85651,68882,67822,22672,4406,26745
57831,64703,77432,41793,35521,48223,23224
73882,56720,62056,40031,52303,91685,61773
74306,93403,44708,93979,31605,77158,88570
48801,88677,22509,77891,55089,67054,55831
44950,66918,67352,50209,23548,5572,92426
43869,56375,26134,71431,89755,10450,49268
58378,90796,77763,28108,10854,45703,97311
75646,21751,25929,34021,97148,44639,86929
98729,71134,61345,9381,25570,11397,23941
44891,38700,34212,45852,57581,10751,27406
99077,8522,9767,53231,77844,27049,63913
60367,60560,51543,90919,27693,45352,90672
87902,58152,90005,67610,2066,91850,95150
14810,12091,90578,35138,11881,92157,10603
54396,86822,63370,56160,69277,63713,68922
25885,81563,72538,32578,32452,1066,28345
22231,24610,96687,52827,15991,54324,3903
10635,2426,70971,37247,11131,17878,24179
76901,76115,82406,77341,9164,21892,39449
33166,81374,5301,73926,94333,68059,75331
42179,86232,68856,97292,80819,74749,74254
84621,51978,9401,16341,11412,78343,89530
52860,72350,95363,26238,94688,29713,98558
87927,59402,45067,13214,93674,8997,36384
68638,80129,36702,42826,33056,87457,95363
43171,91640,95909,26749,50320,90298,77882
53740,85119,8382,23590,46048,11671,22837
50158,72907,104,38721,28503,18027,97393
92592,5257,45984,77874,39220,32499,5172
63033,43861,40520,6944,67813,48829,39825
77851,27753,59873,68240,45379,99661,85489
25885,81563,72538,32578,58931,9196,1734
44178,22015,54794,33017,58436,90402,42489
50364,91636,58143,5220,29659,68481,28114
85880,8763,89963,622,57962,13209,62588
53740,85119,8382,23590,84069,76482,39420
83067,21726,15371,94004,20812,27368,22363
53391,38744,43813,69166,49712,1617,43928
50481,87559,46690,43239,92885,92673,37066
55930,82646,85160,11564,84926,30086,61938
78796,54227,78642,10942,36962,34938,25102
18564,97958,28865,1423,75009,13776,82683
88740,63015,85880,19540,34349,9075,62803
47591,58857,5327,59673,69473,2724,75416
45199,82704,16194,86022,17987,1616,52402
41585,29607,2786,85480,83651,57369,61304
50476,409,69169,30653,76980,39327,39623
65966,67915,36786,39519,5612,69105,45933
59203,46156,34610,57642,57794,63914,36677
26749,72560,73299,16248,68599,67232,48535
99327,48553,33235,12649,37543,42528,24306
68201,89970,14018,27942,83892,97575,97153
18760,69093,27162,76879,4306,81552,33832
56043,60455,78880,12486,34344,23734,51284
65966,67915,36786,39519,11502,59664,82456
34332,75850,59890,86143,97076,20299,22030
23560,10337,28949,79341,53768,84686,70549
63127,54024,97208,37340,97196,12071,80955
21816,56183,96004,25524,6375,61466,37091
23560,10337,28949,79341,78134,10899,37005
78153,29174,39374,33177,55697,42463,48463
84898,14976,50702,31384,71006,55980,750
19831,4676,42345,47316,9241,67993,43619
49145,94685,51315,84905,29573,17716,89965
20334,47816,90411,5348,45615,79410,87730
78153,29174,39374,33177,17197,22717,44072
37394,67396,48736,68657,74019,80500,1347
71858,849,6420,90097,48770,11605,20144
26749,72560,73299,16248,22543,94231,18158
75127,10569,58355,70687,46164,90058,34547
8726,50943,86422,57715,19593,50688,15858
50580,5983,82537,54593,39920,17668,21075
45391,46924,31335,22982,3239,24842,16842
12260,74243,9803,67578,30762,38518,47747
65512,28954,72307,96410,20910,32866,85574
13866,19702,39144,54691,37131,92967,86060
68300,76399,31097,75887,29481,99156,50149
17640,54654,78645,55083,30093,45117,51240
71858,849,6420,90097,19730,40903,65079
73562,33897,69690,28412,32919,63560,2795
