B10,B12,B13,B11=B22,B20,B21,B23
41358,94668,50643,27773,56041,41385,68197
15045,74531,52537,27790,54344,44757,89473
25792,10966,60271,27868,76927,38687,15573
46704,13668,45747,28044,52444,91279,50438
19983,132,49821,28757,9775,55437,56368
60028,48910,43260,29513,17448,30513,12054
51390,85466,46754,29741,36005,95663,46970
28065,35428,86790,29786,98861,36859,97124
37392,41528,41777,30181,18021,94422,78289
17139,78229,62483,30242,90309,76784,91973
18514,28754,26482,30345,60342,70762,78259
55467,62295,22745,30683,72523,1539,84890
34443,80174,89134,30930,33967,15560,18300
2164,87758,21859,31067,25169,31295,36755
81030,18360,51363,31183,5134,15386,41321
17701,36746,70458,31672,24390,78993,89479
17701,36746,70458,31672,91723,43094,79595
35471,92489,80909,32065,58809,9636,73109
56888,43722,9938,32065,34862,58144,17045
65300,52472,69738,32388,56360,13740,84596
39910,65561,10326,32679,24166,13235,88242
98004,3681,10099,32729,43761,83131,78855
91729,17734,8408,33121,16472,83279,44079
89702,16970,78081,34399,51369,62172,58369
6147,67225,54122,34446,39950,70963,2006
22681,44917,73249,34786,80424,31593,57667
68625,3643,61599,34996,60783,51890,27892
5570,34485,53323,35098,67008,92637,27213
89297,96863,99817,35269,79355,50214,26317
31308,14835,73716,35876,62467,87238,72909
41147,93557,506,36178,45050,36781,5340
96836,92062,20988,36178,80255,46012,52929
24421,4849,94953,36213,67228,64651,11734
49115,28898,64673,36774,72910,62046,10838
48784,71743,58377,37319,22536,73285,99768
83468,17110,44872,38036,45548,79652,55267
80127,31499,8356,38080,88018,78777,1637
43618,76955,52473,38502,8743,88021,39956
28563,87231,65277,38682,96985,71028,39128
46881,97301,59911,38682,29345,18553,28461
21578,17974,66242,39182,13989,39878,29364
68070,85927,70685,39624,68562,3447,68287
35922,5908,88605,39661,18953,6153,48723
35922,5908,88605,39661,17268,85281,90073
2076,34506,56698,39784,29605,31596,32106
27039,25885,15553,40357,59436,67727,77897
35205,70049,41699,40595,94548,84301,54142
38530,14918,45250,40655,96061,39040,95719
28727,41808,47422,40754,83259,85567,47859
61163,39804,20035,40783,69037,2438,32668
23675,35897,85128,40881,18668,21912,98846
66373,97931,62673,41032,92340,97685,399
68872,35627,91181,41187,31953,56735,94368
34251,88692,55698,41410,12942,67317,82497
77662,53952,83141,41459,93885,1665,12847
42882,77992,84470,41477,86645,16830,96489
76440,16177,55010,41840,29631,46779,81553
9830,3528,62943,41872,60156,56886,59112
7993,27357,37629,42474,68206,80007,52774
77714,43711,28990,42698,70167,5696,24966
77714,43711,28990,42698,18420,2609,62076
60774,47612,84442,42957,98967,83736,92036
46374,80283,18426,43172,64539,58494,23614
52890,6304,73731,44337,96829,26810,24445
47233,83310,62022,44420,9146,37900,92276
98213,98465,71198,45015,10739,1905,49200
92158,87790,24199,45652,68638,57013,48486
12764,91940,95324,46408,56955,90065,12477
13007,26266,72465,46445,10210,9786,27143
13348,77861,61658,46839,81463,10360,68759
16820,51531,69322,47863,38565,54383,41720
33363,40531,35031,47874,16199,74408,90502
73997,93025,28721,48376,16383,23766,24316
18611,63611,27974,48787,14411,67560,64155
40311,83668,25830,49087,92752,27734,17377
85045,45030,26221,49190,3667,34462,68727
30853,26738,67848,49209,1338,12306,28492
89028,6371,4729,49796,90495,29017,93936
9495,51762,14159,50269,25003,66631,18273
43490,30647,87401,50618,78977,63074,12652
61750,11971,11329,50670,79416,93701,69865
98007,36812,94433,50918,66009,64197,64837
37314,89527,73163,51200,55943,86240,66756
89012,47364,24374,51527,58712,87059,56163
57825,72271,94935,51533,58957,83157,89086
55499,39675,33571,51867,63053,9460,23975
29239,84608,71658,51964,50920,90557,69657
50670,90555,32954,52558,78614,33779,27645
50670,90555,32954,52558,53476,53109,71125
92376,81125,42316,52596,62574,70372,47616
33837,57872,82239,52604,78465,85804,84257
65674,55542,76079,52789,28442,45171,23452
35788,92624,24262,52875,28595,83873,9339
55586,84439,15736,53161,62175,51042,82236
42,75694,21446,53442,2473,48691,10899
81391,19880,53097,54606,53863,73621,63608
75081,64604,17111,54871,96416,4031,66996
92144,28971,37144,55002,61873,49705,87557
70834,77988,96966,55099,24619,32595,38486
62320,31923,78795,55227,82510,20811,46633
65402,89802,97798,55227,50243,84011,47781
89301,32175,25026,55719,81812,53881,20915
13726,56331,55860,56205,28386,5161,78257
20064,86453,6343,56205,68896,2034,23478
12148,76448,97615,57794,56968,95015,19545
48481,73433,50621,58007,94464,14552,75549
55726,98466,63776,58894,28133,35259,11364
33846,78080,99709,58960,69280,70357,48148
21909,32296,57430,59030,45731,58124,10583
893,12762,98403,59141,12219,42774,6379
27977,30170,5373,59545,3001,20044,62242
47408,81349,79971,59794,96775,43025,34477
89554,42093,83818,60464,29093,43742,47896
23378,99588,46289,60691,94228,66884,86480
95734,42642,74480,60875,46427,73232,99844
82482,68826,81040,61350,46211,58552,5560
6116,28848,24439,61755,13153,22367,15104
47849,61671,38182,61971,10009,19357,95087
91966,19428,72637,62053,16857,22124,99207
51259,26377,44880,62488,84459,6662,56348
36073,33055,25544,62882,54532,20006,30839
47779,41740,58480,63308,11265,17982,7801
26821,40189,66368,63688,28566,28475,8216
86750,10904,60623,63813,76035,2725,20420
86750,10904,60623,63813,69314,70469,21449
44706,37365,72411,64086,30201,27541,93989
55277,73829,91305,64853,29503,75773,5076
72057,17995,66972,64928,60119,58609,87343
73028,89144,33055,65042,10393,9850,7239
61544,16036,40598,66454,41043,69565,75404
10444,90103,64442,66552,46304,16400,80933
25003,50269,18273,66631,65051,82213,72674
29154,41279,79059,66653,2946,15209,26707
44575,82207,53584,66921,20659,23279,84616
59793,58920,43888,67109,99841,43586,21996
59309,79132,74118,67298,24741,11197,66448
57204,49403,62101,68711,87995,9920,35187
95376,12794,82001,68933,89019,79660,51628
41518,63524,59468,68965,64130,2833,48483
70453,54676,18907,70008,19007,18742,87558
90076,91269,75848,70009,6868,14976,33174
72276,22230,78678,70336,41666,63284,62702
46394,74613,94677,70571,19401,69445,44808
9888,65039,22997,70799,75861,81350,59443
39950,34446,2006,70963,75870,41138,20493
61533,42015,18778,71170,21098,33203,58750
90131,24203,11818,71951,41750,5542,17284
24755,25422,94400,71999,35787,77344,73300
29227,11008,37518,72271,8173,52527,20934
29227,11008,37518,72271,57825,51533,94935
6378,52666,83485,72446,72968,36066,96367
12838,32917,22022,72598,2554,30009,48337
54767,38190,36477,72609,97363,57173,50173
35227,45973,71089,72745,16672,91708,14077
21218,1173,77490,73390,87372,55511,29821
40253,97541,89549,73964,86936,49550,88493
63814,47536,24440,74022,25551,23796,25130
57743,23310,17194,74039,84362,88866,3287
81173,35201,13894,74394,98686,80220,70910
31958,33824,87142,74727,21100,49268,15262
33320,58157,29759,76236,5444,73361,78012
44558,88943,61881,76454,67068,1286,42222
33350,24821,96552,77153,33478,86039,40410
96403,40239,55968,77440,53147,2617,29280
27555,64922,20649,77861,13348,46839,61658
59057,11295,98178,78059,50900,7573,22331
73166,53,68685,78184,48591,59761,91694
68063,884,87871,78292,18628,14655,67754
68713,75084,26371,78572,64697,68623,95242
47995,45661,6199,78729,42387,50058,45607
40228,25947,22771,78867,9367,89649,13838
94779,42102,15029,79013,99512,66203,82911
41644,74980,29044,79102,14763,63189,7644
55468,30531,6534,79241,92861,81746,33995
76560,91616,17984,79431,21432,43814,35405
73061,29065,73596,80280,47209,81009,38520
81215,20844,23253,80851,87724,88023,83666
44818,8755,33725,81497,32242,93956,15751
95918,1230,62202,81715,13342,4590,11070
8092,84807,55605,81977,53989,84558,85273
82418,13170,53327,82992,31773,16734,46870
78946,3124,29383,83431,44515,10004,75754
59645,98224,49709,83489,47499,47198,41501
69735,3390,28058,83842,56454,89066,41455
69881,82611,49980,83962,67929,73748,29699
69881,82611,49980,83962,74607,50829,45076
74400,31743,37649,84460,45240,97205,74286
83496,7617,29985,84690,11646,63517,79455
70906,79396,11496,84894,89598,30762,58104
29044,8433,29344,85204,35459,13752,75825
5555,29070,43748,85446,63456,45294,54481
47219,83528,50618,85869,59643,80083,86326
58884,26915,29285,85912,65058,43757,3698
81658,2383,84055,85927,68070,39624,70685
89827,50109,91743,86217,45370,96399,60523
46903,21797,71144,86482,35906,23837,3008
94027,56585,92040,86660,75700,59690,42315
70525,83569,53043,86787,62589,98524,16959
31481,21716,6471,86828,30424,62328,13058
24013,49108,28884,86973,86559,44266,51164
24649,20285,84425,87080,3267,35463,37630
69877,80382,47077,87223,90587,62077,92765
96552,70964,26985,87424,20486,9930,54442
35939,40250,76204,87790,92158,45652,24199
44835,51089,30525,87790,84762,68949,73946
53862,17167,45540,88198,81203,31537,4079
88589,63275,78427,88440,54792,93268,45230
27826,93895,32665,88645,6950,10636,45181
1206,91355,78682,88802,72731,66683,27597
1206,91355,78682,88802,957,84362,71046
91412,58674,82940,88828,3391,20704,39471
84362,74039,3287,88866,22314,39849,36
77116,19162,52422,89806,78563,83186,71338
72115,54083,19719,90159,63287,10532,79698
25750,96911,73012,90888,50339,74418,1776
14912,60209,38373,90937,65355,42767,10420
70677,31829,67890,91682,22334,51890,41866
40198,73027,69608,91816,83670,41992,80994
6587,569,63837,91931,35186,99712,97592
35725,82998,89278,92485,28186,91698,94294
90140,6180,81591,92861,1087,93206,64371
99180,93103,62333,93134,67636,14960,35175
20075,99621,24499,93151,66279,57078,57835
5519,93125,64215,93702,3243,27507,21422
67858,62806,12496,93742,72102,77261,39438
18021,30181,78289,94422,52681,79988,80695
70399,9559,59757,94527,68534,11774,66009
34214,41489,3599,94584,12428,38715,84715
4401,11152,55887,95191,31373,63718,2088
59814,82026,98107,95226,57533,21223,81682
85640,77384,75002,95577,95484,54910,53776
88518,20368,43698,96126,17608,47681,51688
50742,55484,66524,96657,37934,40635,99164
7211,3826,95783,97442,21790,33169,30021
62644,29974,84593,97559,88515,79655,72279
8607,63606,17201,98133,77050,86635,34169
62545,76336,34181,99418,94488,2024,86487
8903,19484,16176,99921,62307,49977,18438
