C1,C2,C3,C0=D3,D0,D1,D2
3855,49652,6172,76879,4306,81552,33832
78205,24588,90513,43792,37482,89178,37147
18037,73424,29635,33839,8311,22626,22148
57176,59234,64922,81532,97885,99960,38900
28733,4792,26489,53289,72587,57977,45804
65712,349,16803,3794,7400,41899,82164
56466,22655,23778,4873,76535,41937,88103
32520,2188,27290,79667,37689,45982,76673
20876,55597,65625,84535,11690,25023,13813
70179,52092,731,59230,6300,8972,23317
80747,89529,72806,66085,22355,36250,87382
65712,349,16803,3794,50880,83273,2843
96414,35204,56712,50899,37122,53999,64396
80747,89529,72806,66085,88955,48278,60903
50364,70448,77500,97840,85494,16079,858
46087,46275,97901,82077,72402,91012,39262
75108,72998,43742,43364,49361,71077,14279
88731,62576,58058,61082,85593,53687,33047
60727,85497,24048,83484,29305,62795,29476
17938,77710,15763,90025,69047,93638,67336
40666,36696,78596,42210,97408,41494,72443
41650,57599,41148,62600,29865,94338,96000
1104,69004,48653,29388,69293,96023,23264
67755,1328,33273,52827,15991,54324,3903
15020,16581,48994,58244,9306,21743,43569
39376,72334,79192,98593,29870,33943,19449
12940,70201,91015,68006,49062,88889,39602
60998,82717,76130,45628,97585,74761,57058
62000,45322,1232,4435,22655,45872,65461
75550,25611,84508,80591,48463,50489,85351
4457,35470,74635,22652,82511,76988,67682
83220,33227,86012,50198,59499,8247,18047
56466,22655,23778,4873,7790,59618,27409
42417,66098,24510,94281,85774,95818,6114
44415,88468,82686,32963,78333,87023,40278
24102,77097,2059,43776,20384,95146,79215
10536,71883,87526,79517,79256,33653,82116
84419,34147,65288,64068,79731,87770,21413
76597,62417,22219,92061,42202,6925,52332
74042,42601,8608,22867,20992,35095,89653
82929,46285,69710,79096,25696,29494,54516
93459,57185,21186,41600,68956,50957,93627
63235,65462,30535,51888,29402,12761,16314
94448,69994,43587,26668,86292,70773,64126
98895,32189,66925,1381,91874,45138,32566
35397,49932,28198,90057,59159,93309,84022
38217,93259,20949,2629,88521,42682,17901
70457,52969,7448,97919,62139,60496,45811
21701,23043,70401,18539,54400,98432,15777
69531,62169,30590,6963,54350,56898,91553
26587,86624,27396,71768,5590,50610,91260
93459,57185,21186,41600,72354,41140,43412
78586,54093,94696,73203,15829,10555,24474
14137,64889,97609,96227,83084,89998,27828
37623,17308,68648,43270,5602,10491,71638
44360,9380,952,52286,32889,28681,56301
84801,87552,71204,3041,48027,10183,7556
95443,28143,59583,8696,25207,31148,56750
77065,60049,23267,81412,93444,64643,51941
95443,28143,59583,8696,541,52998,62603
26587,86624,27396,71768,67488,45076,43399
87105,59420,73172,5894,59418,62717,83909
76405,2251,99167,93104,39219,54544,10366
42059,93113,79939,4890,47768,24961,96150
33726,99610,20772,81321,68340,40098,52227
67862,99058,69548,34526,31569,85851,65407
78622,22099,25349,95893,28685,96077,28795
80359,69150,86273,12121,88752,92360,99657
60176,5360,38839,12664,53708,6317,34585
79547,229,78094,36171,92928,81083,46728
34680,34446,40161,77705,46908,6100,21714
11428,4668,29812,49071,66142,29897,46440
71600,82212,48659,18698,38945,36905,42208
67862,99058,69548,34526,3442,73917,48953
25692,20186,96384,82077,72402,91012,39262
95033,41241,529,7632,55396,9243,87925
52113,79577,60064,77278,22696,71124,11116
16584,10491,99390,37734,70834,1783,62489
95443,28143,59583,8696,98743,9571,40622
2370,71305,76712,54570,65628,6738,27076
77065,60049,23267,81412,49773,25256,42304
78586,54093,94696,73203,60804,62457,52188
89650,69453,69463,1272,48169,11229,4206
87105,59420,73172,5894,61025,5492,48885
4219,43960,44944,76115,60967,62104,32454
71866,77865,84597,47085,81189,7381,41498
55766,54235,99713,34705,79685,83704,94626
62352,34013,3322,98742,86654,82096,12086
23693,39450,55661,52087,37725,53903,90652
37240,46660,99269,60649,35271,59630,67780
69531,62169,30590,6963,31629,98036,38225
26587,86624,27396,71768,31529,16080,70636
5480,58829,94801,9276,33200,45393,88440
77668,58597,82972,25262,25342,53202,32150
50574,32484,15468,19011,92080,89692,73627
63409,30826,45703,44346,54399,13121,78200
84056,34058,58839,66469,84857,93196,69849
45737,91190,34565,55604,26395,12570,30421
80260,10291,44173,70047,84534,81681,86979
94816,15782,96692,39245,9355,16509,36551
28367,7256,89211,53144,72155,66629,81600
62830,23535,97225,47848,63465,363,23636
86531,67237,49707,56905,39152,97564,11266
55606,3805,5834,6310,98768,43420,34483
42949,58666,82256,90702,56459,57420,90181
15613,32181,48000,16625,87682,71775,21726
17598,85284,70655,75071,93972,4983,37101
41153,17015,22271,97699,38897,34936,34315
30608,63212,9919,99999,37668,87921,50707
97251,17773,68991,49262,1367,65809,26061
41509,88099,23785,63693,18915,6265,99540
82831,13596,44973,90270,31033,27354,65034
47645,26606,45849,79083,30173,48652,97109
39740,44783,15028,98940,22817,71556,96097
83789,90146,14538,35923,84913,72739,63220
94400,33546,90365,948,61304,44535,19008
41153,17015,22271,97699,75911,25722,49164
90456,41162,92542,73934,1897,66074,96971
83315,71326,3853,59767,57641,71604,48009
82780,72599,67942,10134,89786,44419,92871
35310,94629,58079,12122,78800,70655,42395
42712,30137,95456,82684,52423,14489,83793
13122,31573,11517,11927,11073,42126,88151
18219,46058,50153,97287,47042,24406,23068
41273,85757,71725,84506,93323,94371,1046
37301,85852,63443,20946,53251,7694,87231
45033,5118,85162,55225,35803,26776,37628
92107,29723,99362,49609,85788,223,26131
61232,25822,16740,42332,87188,74837,56682
41153,17015,22271,97699,88571,42961,69877
77760,72715,25582,26221,59441,36269,51185
90903,65087,14065,27536,55794,59928,54014
41153,17015,22271,97699,50381,90152,59205
36748,26430,88421,24996,9064,43851,84152
90689,50812,79892,39380,76880,68513,11979
10912,80403,55153,58888,89634,52272,49223
20320,39183,49777,70534,1491,68805,73497
61232,25822,16740,42332,51478,78512,42140
40276,62474,59778,31603,29862,5336,74829
30368,49576,63350,43431,21906,33113,80786
59914,76844,44273,8791,71393,50826,20048
97251,17773,68991,49262,42425,38463,98654
70445,73713,69678,22299,37897,14181,47073
29695,9035,35200,46335,48963,66470,38831
11507,39369,45159,13292,35774,65134,85071
8711,41678,75852,6295,14121,94684,52276
76730,75440,54253,19577,80800,30187,6203
42712,30137,95456,82684,62093,40069,11946
72729,14355,60850,41375,24037,93829,10967
94400,33546,90365,948,83652,84158,43740
6974,8637,61053,71952,19815,26559,76998
60203,41238,59362,66627,24389,9228,46056
78531,99405,9100,43096,55126,98377,87346
77888,89839,96143,16869,91163,55343,79618
5817,81843,67455,97658,10195,4288,72063
61232,25822,16740,42332,99331,23724,78021
22353,70047,95041,3752,93859,31157,85159
40276,62474,59778,31603,15614,50717,25591
51028,71055,62490,45296,231,42152,44339
10125,81010,65288,18532,86750,59188,35615
67804,38519,64004,71281,94013,64603,30587
64055,46707,24145,68256,28476,31670,78994
83789,90146,14538,35923,8501,23323,97854
24610,23351,92197,97846,26459,47627,78848
51028,71055,62490,45296,72021,62232,93735
77436,13481,97067,26864,55889,4972,11370
41153,17015,22271,97699,86151,57324,346
82780,72599,67942,10134,4781,77274,83123
13122,31573,11517,11927,7791,22733,54382
90689,50812,79892,39380,23547,43077,42106
12180,90271,95586,88921,49156,50103,64691
68321,23964,20792,11167,74091,63550,17815
82322,76561,8500,71641,92726,8584,16859
91839,43281,38763,43343,18629,39248,61802
8733,71528,91949,87640,53077,23183,24607
45482,60758,53086,45947,46052,98178,63320
22665,44643,56749,9638,34720,67662,48041
89797,74959,56855,51580,53121,60872,1088
46369,77225,48558,36839,70720,82314,44958
9563,69778,90324,44021,77969,11181,35137
5259,83178,54995,99073,409,52083,56897
39326,12651,23546,48915,70668,43738,22864
97524,3240,17090,47997,78651,71796,245
5627,97778,34302,27565,48883,96401,56251
97524,3240,17090,47997,24047,65957,18244
66439,60030,54302,34324,81744,94180,70887
4340,32796,66724,21215,81919,3602,90736
21928,68983,16534,76895,20360,33073,47078
45482,60758,53086,45947,62379,6293,663
54687,65516,54222,40625,11861,26780,3142
49450,79885,47562,43275,39251,39284,51736
69607,65681,61161,9095,82394,36851,84005
6891,93673,47363,59080,35656,39214,34996
97524,3240,17090,47997,49247,97025,16532
99262,42728,15776,60427,82715,9464,13211
77199,70344,62967,9548,40633,28713,53538
75451,82503,68304,26910,7583,77107,56502
99732,47617,92671,40188,3016,49182,5031
9563,69778,90324,44021,49856,79798,13726
16059,65831,60154,70095,61360,18742,72979
85141,53289,51543,9262,27610,69827,4824
889,79294,34635,97335,26692,37223,88204
889,79294,34635,97335,29783,20932,31077
63535,29818,13070,13045,74385,80699,41168
90776,87795,38624,90660,22408,11854,28923
41002,6090,92598,99934,35746,54899,24448
54687,65516,54222,40625,5853,32601,36920
55519,33370,86743,17209,38625,23282,97353
24607,88206,72214,67803,37711,35929,49116
69504,44864,43585,24255,91004,22585,56423
29590,65554,88739,6062,73387,59263,52359
16059,65831,60154,70095,52398,29835,19422
67146,76493,45158,49685,14976,48121,97475
92285,22300,35759,75848,16652,5854,63164
94291,24387,6834,37175,36438,28463,23723
90277,89075,76552,70431,3733,14902,23537
57662,89649,93382,68696,50019,47299,79374
42081,76026,79566,68696,50019,47299,79374
47670,29959,23482,77618,6497,93468,12755
89384,10051,5398,53462,12870,4839,88111
23076,37451,48881,89024,21765,19116,79040
59081,57750,6711,38222,76163,87010,21485
12355,78991,17826,94959,27502,45897,80098
39326,12651,23546,48915,52954,89514,16569
88961,22769,44380,44511,74259,86711,61847
8080,10540,95226,12023,14890,56462,53261
99790,79550,30914,63527,81644,85748,56958
37758,79643,41974,82202,36580,19473,95004
97743,28639,45966,66599,98910,92335,33783
13045,4527,88560,43536,97915,40682,49773
88076,3585,12271,65243,53393,19377,46318
77221,95341,71384,41504,2835,20738,84163
26290,41256,98867,15441,82627,95725,71075
75016,91445,55417,34033,94192,25824,41703
2553,77885,16929,44081,30283,87069,40639
18062,84455,94934,44356,31143,47272,58651
4176,32649,66079,85224,82144,84384,61983
77221,95341,71384,41504,41887,26408,58331
23002,22871,94850,6232,38786,74301,97393
61001,56709,57825,19430,13187,98483,30652
44250,86797,95584,56178,14714,98123,52465
56306,37291,9281,69679,81973,30182,69800
50438,62921,86396,63292,337,16417,23597
37596,61944,94472,17541,29607,94499,7543
97316,53255,49534,51248,67753,41748,91265
56306,37291,9281,69679,32346,14641,52075
15214,50705,80275,86945,99699,82991,85727
46116,24217,98906,3838,38351,80403,62929
17832,25558,74569,15268,45752,38616,22552
93533,11164,33929,94628,3695,84070,2011
89532,76710,59212,62224,81138,3599,48717
25710,53986,50298,668,22,10350,5117
15063,84996,34117,9254,89201,26966,59791
13023,88905,61301,48007,90529,81468,95753
13023,88905,61301,48007,38581,17089,25997
84241,67917,30232,56479,7199,3750,25903
24874,90320,19096,83092,98980,78121,20563
75016,91445,55417,34033,63991,71468,42033
71019,87076,82821,9859,88217,12924,88353
12542,88552,10199,72889,71152,50908,4849
39448,12400,98597,72033,55555,12443,51131
99096,79854,63853,94658,29694,1121,58883
53615,1897,2908,69016,12444,85147,14436
63163,30132,77825,12221,4997,32794,49233
79951,30768,5689,61873,52812,62669,99782
6079,73319,78679,40234,65653,58274,6257
47809,5590,21392,79991,237,42251,66013
87721,55828,9884,66425,41531,75256,50872
65209,29060,33499,65701,98199,26790,5734
80853,60806,73488,15724,28137,62181,70678
2247,50075,34090,85376,12820,82125,4832
47735,51433,71417,17047,27174,77910,66981
82069,66773,57521,72541,85766,66117,45240
20060,11552,2070,94604,82807,55671,48864
93533,11164,33929,94628,75294,89314,11103
1850,88407,48114,55362,45779,13703,7645
13177,20569,58451,23334,20241,30717,12708
32769,12084,45523,89066,7003,77675,17087
5808,62714,77192,40758,10267,77037,21869
49708,38636,8327,22434,95495,26322,45306
97151,27451,36508,14275,81458,61505,19632
86857,23289,20873,8333,10940,24394,71407
82512,60913,47695,84137,97898,43178,64226
93308,12966,66753,8096,69636,28635,1379
57508,35370,14689,84772,67451,3323,32965
80299,70562,82226,83683,30832,61974,59916
37058,73759,91547,2282,18197,84773,94461
28015,15618,18120,16732,13432,47772,99392
23264,76228,26430,98095,87585,31297,36291
19386,21138,68602,54639,72239,60594,71429
71316,88919,49429,13854,15027,35933,23133
28998,59684,7094,13590,95922,45683,4743
83612,98173,56358,17742,67247,89017,60338
13837,38172,72810,70549,35615,9333,74609
34037,21492,6201,69630,39972,42663,70233
60426,28773,33497,13679,87469,58144,37673
33984,24876,35674,44224,77833,8579,13170
12729,21614,96637,57525,79290,27313,59612
25001,71843,86996,63817,98325,62820,4087
53097,50346,24141,91448,51587,91411,4219
26962,13844,82258,14661,56648,4157,40838
97796,17261,47747,37517,27026,14904,67421
75411,24357,58809,52947,55285,4214,63488
50225,38438,37247,10430,84908,73807,75192
69496,38607,13010,72772,95097,81473,91700
31982,428,79682,65936,46346,60268,2159
68805,68618,57555,57666,5697,20334,85281
71642,6388,4987,98815,91077,78221,80300
28015,15618,18120,16732,94998,27150,95203
23264,76228,26430,98095,63244,18966,90780
36444,39849,72060,61076,38675,41216,42831
37710,31233,72499,67180,84142,42217,11594
88260,135,25905,84454,66573,91168,71353
79884,38659,54613,62386,45650,76961,82060
32769,12084,45523,89066,30366,34723,68816
31982,428,79682,65936,22573,9760,71561
34162,50457,24686,6808,68245,35300,91607
49934,10137,17931,25066,99786,91529,42308
5808,62714,77192,40758,77602,8246,16486
25001,71843,86996,63817,40159,13389,81615
53369,1896,11096,64899,30761,98666,42851
25001,71843,86996,63817,92810,2593,39899
49708,38636,8327,22434,89287,97129,84683
6381,71087,16501,13806,18340,22524,40292
13177,20569,58451,23334,80218,80140,82798
16242,41650,68377,11148,81056,56738,56329
99883,54852,32342,70561,43231,48853,78530
10576,5012,25194,45278,34125,5984,10690
15515,62952,69623,46486,23589,68923,64660
6923,7929,49381,39266,2383,86469,8547
46211,87609,19453,90982,56333,32602,93808
99883,54852,32342,70561,12823,22816,90479
54329,39238,80724,51436,61974,66616,25914
6978,37107,69632,8127,67230,74840,47299
13141,93500,95030,34757,73764,77988,2704
36290,96531,6566,16380,80250,43643,27678
37865,59763,78150,61228,57925,48826,8937
24662,85030,24192,64229,34844,64690,55879
75411,24357,58809,52947,53930,15117,24446
54362,87243,20189,87231,65646,56555,67462
10694,4840,71258,66819,78061,74254,87005
37865,59763,78150,61228,87258,68402,72079
19136,28210,83612,33062,69829,33922,82406
49934,10137,17931,25066,32659,16126,82401
53097,50346,24141,91448,12614,78471,94180
96393,32000,87546,39838,13114,29246,56112
14267,59797,68925,97604,29088,9248,95421
94712,96237,74683,77449,9990,33168,46731
80655,72103,41206,37157,30960,81184,93122
34162,50457,24686,6808,68941,96544,26489
77081,73811,55698,81099,91336,91801,78801
46211,87609,19453,90982,95380,84817,81908
94842,23296,39244,42824,50895,59801,23189
10221,42102,66258,45506,18137,64262,68375
82318,92084,17792,66156,38255,13302,96894
39777,5181,17019,58504,25904,52677,95007
76131,80253,95093,24940,25341,49688,89475
60184,78721,14984,91704,96468,22855,80655
68199,76891,79652,47489,67026,33065,1923
76969,55318,12856,73276,69210,63476,40598
42738,35803,10944,77270,4106,13574,38884
3197,56277,34,14880,97680,95832,4701
20856,39265,48315,19875,61693,73030,20152
60689,57538,91000,21939,37791,55967,17417
84295,47363,57274,71617,55854,69325,2714
63641,78087,7234,7987,37748,82335,95216
67717,99429,5005,39913,18716,92769,24585
94842,23296,39244,42824,1289,17675,71575
64045,13965,18250,12426,56177,10875,10137
56303,6963,53481,86002,97911,36422,31489
59668,81141,35117,84273,46990,96603,85167
38061,48042,8298,88507,88844,5591,48244
97799,95550,60509,7559,61885,87379,20643
47234,7788,1116,23483,12263,54404,43963
22879,91133,17222,28600,69115,32,71145
3471,16194,49631,91472,38483,22135,42481
20858,54607,69740,82205,3439,71793,16125
35527,74870,56003,16986,39444,8787,89582
42738,35803,10944,77270,60291,44483,2917
8345,55560,24497,42269,59112,7452,92982
37927,69020,53193,65869,54416,78074,98650
65222,17893,95928,6778,24659,25980,22062
49762,46987,51649,36824,55530,16622,75124
54335,24875,43486,35637,81277,91404,39902
91824,73776,74210,26519,20018,29425,88467
24099,55251,6999,37160,46731,70104,18015
81386,24975,28556,16091,87754,90913,63220
80479,54950,67268,87874,31980,65586,94357
82318,92084,17792,66156,73579,65683,45876
91824,73776,74210,26519,80917,90848,28288
35988,81592,36775,37801,56389,89242,91420
70792,9249,80323,24856,6678,75927,49064
76131,80253,95093,24940,46016,49047,52044
42738,35803,10944,77270,67487,46402,82082
20406,28651,78401,73672,801,21951,53602
96892,39962,99502,99574,34476,69861,67105
68199,76891,79652,47489,31872,6060,58676
24145,47264,94317,81416,71528,10633,17679
54335,24875,43486,35637,97239,45502,38254
51939,95989,69354,89083,68572,98635,73687
74974,44949,65302,49648,50978,72719,11805
62389,10668,6048,97604,29088,9248,95421
80452,27713,74888,23237,26491,43551,2277
38133,36748,91005,60863,29352,71636,82462
70792,9249,80323,24856,37112,74037,48420
25381,60149,63350,97131,73376,24846,72820
89441,86867,19575,77678,44989,73139,56299
85554,61285,19640,88810,34665,95722,24903
1594,40004,2361,95490,7735,45341,96975
40649,94536,84494,77706,97549,32325,24406
61107,66512,31768,21819,9540,60831,39303
7723,78127,19593,29460,85426,35055,63999
2346,78166,3984,38840,16987,53339,80053
88767,70470,82992,41377,8189,78011,98758
29747,18960,77671,51974,61709,38281,58980
70379,37383,69581,20896,17597,42464,39476
68384,64148,21997,41092,63109,47712,61099
94235,2865,32747,60749,39375,60981,45569
25381,60149,63350,97131,66609,26043,47366
58842,56369,12058,91063,20655,53789,20912
41592,69504,61495,76311,56176,33730,49551
64439,5570,39247,51972,60228,47098,38453
83957,87522,43646,13165,86551,24197,23831
62627,8248,20831,65097,27405,84595,54979
49771,38930,25591,92721,62706,864,28498
79130,33291,89627,19639,36451,86956,35536
37253,69058,20911,5024,66559,93785,16932
41620,32106,18784,48315,57681,15488,25516
78624,80686,82246,33977,89199,20827,13897
65824,94881,6491,90929,3378,1824,5769
72402,15659,3330,18679,71496,51069,53940
94664,53876,34887,9186,62374,12529,15104
69251,10051,25797,38568,36641,26578,27751
57981,34000,25066,28259,76922,39532,20068
41620,32106,18784,48315,17803,35929,89472
52208,32733,44396,19779,64472,17062,98650
38376,62988,80143,50795,27519,80297,81702
41305,77663,84687,3368,7047,2129,3375
79145,43230,99354,89764,59110,5989,61739
98050,19792,85217,76555,3199,80723,80597
35876,12604,56143,98173,37749,52621,35741
84281,27052,19216,75150,95286,45179,73527
98050,19792,85217,76555,3354,86027,73542
52485,17128,87688,17556,81667,40023,84767
92364,45530,59274,55489,67014,1356,70348
36849,37578,66297,49719,65286,77280,95061
42074,58375,47769,86692,69958,62049,64805
37253,69058,20911,5024,86821,52427,15668
93728,45385,5841,48207,19918,19454,8078
68384,64148,21997,41092,50415,66914,48936
79895,14039,42922,86131,69919,7193,86701
5249,49681,69866,2428,67162,70352,475
2256,5538,64724,799,91403,55299,66822
40536,37603,18836,33695,75149,93891,78644
36798,86798,54117,67891,1684,71360,38319
58471,27656,67419,17832,90792,61570,24031
5249,49681,69866,2428,31503,39748,67960
24885,5857,78474,88004,41914,33169,87437
2256,5538,64724,799,24955,49066,47014
68910,82833,45239,86113,22284,30164,26930
59467,62224,29610,25379,64243,16017,28351
29747,18960,77671,51974,48203,80201,16615
44460,56468,55265,43370,96724,82450,87419
40837,9178,96620,28018,49731,15045,96791
50533,83389,9563,66586,66926,68158,98341
27874,53558,32504,65371,21344,60318,15271
99408,92596,43063,18426,82608,66352,12044
23791,60248,86087,80354,64213,50303,81241
72362,13201,63929,38588,44347,58546,65727
81397,72502,80697,29801,77859,45233,88645
35539,26368,59225,8056,80740,26339,18528
25276,15343,69523,98742,86654,82096,12086
2256,5538,64724,799,52746,79400,2705
31104,80075,1742,84939,48036,87422,77664
37761,69688,87017,30114,64198,15329,68716
84641,42588,82199,31972,39737,65560,17172
57170,36044,99888,14184,65914,80463,79461
53312,37102,77418,50351,55293,78939,87947
36849,37578,66297,49719,26154,38436,80565
83957,87522,43646,13165,4727,2063,8116
36210,28897,28237,48753,15823,14449,11236
71950,67613,27192,28331,95366,56342,86026
51497,83716,6518,6019,96650,58658,12736
30653,25921,1878,65492,54266,21765,12672
45743,39175,72888,8144,97294,90545,87350
9975,93008,54693,33494,67264,10303,62417
90205,13293,51322,7215,19498,72449,91241
23265,80284,97479,17942,70005,48106,36244
96539,4427,74229,56194,82352,28825,43687
15525,88062,69151,45887,4410,29959,23487
41488,60297,99330,50469,8416,59215,32788
74874,35266,77699,99840,3362,43624,88126
69920,19894,27618,66015,31509,32875,46291
42237,81325,7851,43099,66730,96260,76397
19934,43800,31886,40598,2142,75092,44296
10194,24091,19678,25117,47852,79020,24962
41984,86424,54026,96542,7782,36743,26693
37582,5647,14423,11165,62042,45962,83533
40195,15060,24447,37902,56859,17714,66609
86253,69265,13108,3029,14214,71864,40812
72642,20950,9232,79164,60528,50209,96982
37343,26098,18972,38982,5567,42444,38648
59525,34959,11635,25184,75363,54539,83868
69920,19894,27618,66015,82978,50703,95386
65239,39824,44788,25469,20208,49414,45836
86253,69265,13108,3029,16061,35816,54768
80585,10544,61045,78561,15567,60324,33161
68225,74238,75866,50512,87018,12218,63641
18406,61711,42518,86729,279,16986,12842
64665,36030,79226,70445,44019,88000,38963
35921,47195,39226,28802,66630,51722,91715
60825,17651,86749,79411,8492,24185,27410
9457,20667,25024,27047,81963,21588,83356
35470,22566,7815,56384,79714,32384,78000
37343,26098,18972,38982,61471,86946,86547
21587,18006,99388,78697,6690,46373,21483
60739,24876,16925,22204,27609,50627,67438
13301,24054,88902,70434,60197,61885,66882
31650,40492,2616,11645,80924,79268,51189
14742,83358,18888,66130,46361,76323,56669
59525,34959,11635,25184,86621,47770,40399
59955,88378,11747,87123,87551,94069,90842
41617,43314,39818,30839,11991,82338,3855
97929,10104,46555,56763,94911,4239,5759
51149,61300,75200,73903,90941,18965,61663
74874,35266,77699,99840,81695,50262,75888
82647,96224,65658,29638,67372,24722,32945
72629,56960,53763,47803,79551,93908,70877
72465,60889,45657,94134,4114,34220,93913
63646,95604,42212,93807,96433,69146,10259
33222,68742,23263,70958,25515,61584,77070
61732,45957,40213,9442,24972,87790,43307
30154,35307,94915,85314,73875,92287,74044
9975,93008,54693,33494,72769,1279,94458
