D0,D1,D2,D3=C0,C1,C2,C3
13245,2601,46538,2962,34801,70548,38543
28978,11755,85443,2962,57809,41264,72562
67737,94814,69108,3001,26220,29241,28602
17797,91268,73957,3001,73838,51100,56564
11544,70189,84819,3001,73838,51100,56564
69423,42327,82314,3017,73838,51100,56564
27171,64797,59960,3130,10306,42632,93514
304,98601,41578,3146,55278,46434,64573
69519,83615,57682,3193,25899,2091,14559
46580,41878,59069,3223,88217,21812,2474
70005,91931,47563,3223,43435,37819,14523
38668,2704,67417,3234,18148,74743,9798
38296,68580,82161,3246,29885,36332,55671
22280,93656,4251,3246,10782,99744,32532
24629,48109,99734,3314,31256,47394,81028
2750,46475,66619,3314,51138,8693,27833
66680,22228,73759,3340,5992,57886,31850
10244,2139,40089,3466,31733,91330,46388
37380,34387,43815,3474,12864,97407,91319
47699,67978,28963,3477,89386,65426,67290
76366,97107,64630,3503,2363,73908,79458
28045,90514,69816,3574,26448,79466,15366
33428,61618,92364,3659,33441,479,9847
48686,12684,45518,3659,81495,18599,3094
32094,93066,23978,3875,29452,49348,55398
9528,88798,65595,3875,20349,39105,68884
80278,9609,31103,3921,66136,85027,49832
33589,60794,90090,3921,90845,83352,79346
15470,17809,34574,4081,26331,11476,48990
90296,69963,68770,4100,85343,58049,79888
90296,69963,68770,4100,76506,99457,76243
6131,36173,34490,4122,22140,98445,20115
96531,32427,10885,4349,88786,46455,67160
58993,98625,15057,4394,15299,20471,66542
57021,67976,8116,4493,70629,15912,72601
6207,26217,94022,4514,40631,92084,48156
42905,18230,98895,4631,98252,80523,25159
2708,6782,78526,4642,24804,59405,16225
11035,44653,47683,4694,83829,42545,61911
44742,93847,90501,4703,59863,20745,80322
74069,69769,69542,4720,13719,28311,40978
52690,38006,11594,4720,24876,93207,93430
29081,81728,82346,4781,33982,36085,50355
77203,61389,66851,4850,67259,42249,16187
91847,89169,48595,4857,82785,43316,97897
77462,64409,39381,4879,31025,60490,30463
96362,43939,46877,4879,57436,65284,86652
22489,7343,19021,4969,42059,57159,72475
76408,17226,68995,4969,60524,38326,50501
69991,724,62475,5158,64945,85474,85589
86634,16263,40337,5164,13021,20932,3931
22018,72905,55889,5193,31243,1577,50479
77270,72258,44860,5207,53117,31580,24882
25558,47286,84277,5281,51289,36851,67642
13077,58123,54278,5381,65265,24019,96622
42251,90601,20335,5556,15548,50441,96249
59044,72295,58673,5575,72275,34851,77934
57482,31513,24037,5585,70678,8513,23665
31904,82046,2489,5599,21832,88076,55612
3390,79184,23235,5625,55018,66862,6196
57634,57794,4554,5669,50293,86562,49495
50634,75841,21934,5676,15710,35420,42788
81446,70496,4955,5767,43152,34847,80333
80732,81009,37073,5819,2668,91982,78511
42240,25297,15898,6022,52227,88482,8718
2307,6037,42920,6137,30096,26833,92831
38341,64763,43127,6199,24242,29926,20658
10931,61107,8300,6301,26447,56776,26686
31475,11383,36580,6301,24209,29203,44545
40168,85778,59745,6324,49839,24035,60532
11446,3300,9888,6388,23606,69603,48380
80216,83907,2929,6417,62676,19994,8349
28035,28512,8410,6453,25046,5658,44719
80933,49044,72712,6471,56222,66344,33228
73910,93811,92418,6498,72277,92505,72906
43978,13884,56240,6604,49179,18696,36665
44353,56439,566,6660,11394,28838,95018
56027,65961,22726,6709,88859,95638,46556
47708,93098,6008,6775,69144,1468,7589
1025,69146,41138,6775,15860,17328,98506
724,79402,60842,6776,15860,17328,98506
89408,14263,16296,6857,80679,53561,8378
68291,77929,4830,6885,1713,4053,96390
90226,38364,49678,6982,34503,80225,44015
17502,48321,47226,6988,66152,49044,14233
58253,53313,44368,7022,56616,97366,47084
16109,51784,32217,7023,49838,48051,27748
50131,44056,50495,7092,61606,49456,10736
64610,8925,32311,7131,51533,50893,49885
36683,48316,17115,7184,7837,67757,41859
31990,15402,81420,7185,18999,7845,95896
3371,34790,55722,7238,50615,78971,61600
79073,329,42323,7325,48499,95992,80263
79073,329,42323,7325,69879,87277,87317
90905,75147,30452,7378,68777,91465,5836
68967,81573,98734,7432,96984,32508,34686
11780,46881,86983,7489,74188,99008,80403
41298,53177,42047,7549,39079,93178,35701
89651,2550,35397,7749,13445,11039,73960
55112,78497,38221,7758,28036,36455,47920
73719,91544,17809,7759,97916,52430,67283
95700,531,30541,7820,29431,15320,23082
84756,60803,84590,7889,76388,69133,8106
95016,74737,71045,7975,59219,2744,49889
16465,20476,40951,7990,24168,74971,54164
9040,18318,16619,8006,55594,16080,79758
99922,61775,5163,8155,92077,27403,97310
71847,48934,62061,8214,511,26897,31537
7740,57914,76741,8227,15252,62519,86608
7740,57914,76741,8227,3151,71226,63148
93405,7766,65202,8264,51110,59346,47871
93405,7766,65202,8264,99539,90509,77619
31029,56917,7065,8294,23729,22809,83435
37540,2242,63171,8342,30017,79203,41309
85270,85050,17626,8347,77160,43703,45394
24399,22780,40176,8353,57539,63102,65179
38186,53505,27904,8440,28690,91202,35165
38369,6516,12770,8440,72116,36767,77123
79350,96902,44748,8511,23628,80090,84184
90071,6383,44178,8535,16237,89635,87449
53405,33707,78774,8550,74143,41925,98019
57029,35199,47222,8636,46898,43640,45197
94313,36131,24626,8646,79652,71617,27996
5457,70246,19280,8691,44511,77812,20754
98891,85932,27546,8754,54201,3287,96882
32130,62395,74658,8905,49816,81630,40561
32130,62395,74658,8905,9010,55299,11666
41939,55267,24018,8932,52964,67177,42061
23841,68682,69688,8999,3106,5889,7147
12402,40661,34059,8999,20588,1631,70071
61555,32928,43895,9026,53837,47627,59478
91968,13250,58802,9052,85263,18309,52573
4535,44523,9607,9075,92669,18396,68291
99087,62840,5237,9101,60892,34767,65429
87482,72006,96310,9222,1130,84874,99077
1241,65438,2045,9273,65088,38473,80831
44885,18045,7456,9359,88950,8356,80506
53698,2920,1251,9394,83711,35115,35279
11378,39751,71404,9404,41258,98002,71708
30934,48426,79000,9488,43329,61301,12754
98888,85262,94993,9500,19638,56801,33341
95096,53189,10194,9600,20821,94778,6873
47286,66424,1525,9601,71176,9832,55270
8991,49465,68376,9615,7832,40434,83853
3449,35063,57874,9615,56279,58814,24382
10065,89116,45965,9622,56279,58814,24382
63937,86414,37994,9731,6840,48522,82440
92561,58120,712,9754,2447,29429,13952
51726,27434,10955,9775,43329,11018,5802
83176,77980,61268,9858,34334,73710,76987
66882,2828,7551,9883,37225,53029,72150
63146,69546,2615,9936,23102,14616,91816
71549,55701,31994,10005,78928,40251,34396
1570,83873,63099,10021,29398,32408,89619
90388,1875,58672,10073,44130,39735,56080
24428,82269,23490,10082,64811,26449,36761
39075,71538,98806,10172,6082,14570,58642
92308,85280,51367,10258,69310,72431,13713
66751,77692,60555,10294,1053,83920,66363
96543,95087,72721,10312,48237,40430,68431
61435,24083,93785,10405,3495,13662,24080
85762,44063,92496,10427,69734,87868,61664
17581,2154,48536,10432,59698,94023,70674
58447,25058,68437,10439,12486,61963,12401
87720,84437,63806,10441,81244,27156,78127
50708,99864,11507,10459,65829,53996,34962
51274,25052,55469,10468,47849,61853,44727
4834,86826,90025,10480,22379,72050,79308
39172,2542,15122,10480,40014,44893,83636
72835,27742,39312,10520,36696,73109,35075
68151,10783,80334,10549,7374,67038,19809
98452,12557,23957,10631,41701,78521,23560
22134,89501,12451,10701,31406,92629,54861
66072,77887,95265,10711,17773,6250,55885
47619,64467,3940,10727,39778,37726,10228
47619,64467,3940,10727,3630,49872,43327
96574,98510,15483,10747,39388,56883,36869
36768,89068,76090,10762,83603,16649,42516
60018,27490,45736,10780,13493,86755,80918
4461,39801,98227,10852,46948,50,98763
14698,27024,312,10902,69969,30352,99661
45620,6994,15263,11127,8596,1942,60361
74663,83502,45751,11153,7464,29129,15583
50405,1009,94364,11273,268,24354,75316
31003,35442,91488,11386,14878,23043,3196
96361,66472,49939,11524,57111,96556,52598
19068,34247,80330,11564,96288,72321,36718
78059,51553,12521,11587,77644,41384,22637
88788,14510,94733,11589,52269,13181,50587
21316,63626,62463,11590,34805,59490,11284
64559,96633,33793,11595,77727,54545,35005
88753,12129,59442,11620,50385,17100,71379
12489,59104,32590,11703,6539,25820,92153
95834,6722,37963,11705,42655,61366,40631
7153,51182,30937,11770,31564,47872,91050
87069,34160,13591,11771,9204,91772,5670
72301,4988,66150,11771,93862,40797,81428
40346,92563,53305,11782,25086,66674,90600
40346,92563,53305,11782,30874,78026,9600
23529,74316,77823,11891,22263,25100,92036
37987,62663,66379,11891,57490,36805,7259
29542,21386,1826,11934,33681,31940,37145
86052,1868,76799,12015,97734,35523,5423
62665,97461,83664,12042,58229,24629,58229
87014,32619,61754,12062,37533,84617,50627
58648,97581,71196,12071,90157,38106,77745
29941,34401,67111,12073,15032,55689,60665
88669,34469,43817,12099,419,73312,97660
37300,59148,97038,12122,38529,38376,79232
57419,84530,7321,12122,40986,63288,83267
14469,517,42402,12191,99728,16470,60173
12171,23944,52748,12216,6978,93283,90701
5119,47354,439,12276,74773,92127,90823
5119,47354,439,12276,25272,52775,90218
62292,57372,10493,12279,82305,64389,45559
58945,42716,96919,12308,29498,69136,38953
46971,65657,32471,12353,87009,16220,61640
46971,65657,32471,12353,35818,24556,95732
79904,13254,22696,12378,13404,62398,72563
71436,19471,4533,12437,93527,35984,76956
78883,60784,84714,12437,16568,59025,77569
9771,20101,70611,12439,16568,59025,77569
37247,54108,5468,12453,36736,55208,50794
9940,1358,74315,12474,47498,94127,40515
9940,1358,74315,12474,19254,36889,34072
9940,1358,74315,12474,65030,61825,22000
57778,82577,88321,12474,46051,58716,99292
57778,82577,88321,12474,19254,36889,34072
57778,82577,88321,12474,65030,61825,22000
95911,24797,17406,12485,46051,58716,99292
81558,99471,54118,12522,1649,81581,21853
84147,8925,46692,12608,85447,77566,48496
51889,37401,33335,12608,48164,75717,61981
57500,62693,26347,12630,78408,21504,81489
9066,21703,49916,12631,2792,33604,55703
70697,84777,19906,12650,51094,74589,68272
18407,52527,68603,12751,32001,10205,85801
87380,63276,89530,12856,11171,19376,56200
37451,2025,35268,12935,11801,95646,70456
90762,68503,35528,12972,32620,87932,90803
3491,82801,15440,13029,23361,30294,46701
33615,10384,40624,13059,18780,58481,81514
59073,61401,69812,13148,52360,10217,60987
59073,61401,69812,13148,53332,85616,1494
59073,61401,69812,13148,83638,39626,79877
30484,22069,75259,13329,43588,34407,87231
51383,89446,36810,13332,51166,93698,88006
51383,89446,36810,13332,60069,78507,18255
58061,25703,43146,13345,85833,60219,78112
78140,41408,13178,13361,96319,7968,65501
35459,77284,10030,13390,13196,74755,77889
74982,17175,99152,13413,75437,20521,64830
74903,95922,88604,13425,26829,51822,45072
60126,79387,28620,13450,28687,87170,51285
53579,75598,22765,13606,37206,24502,49000
74139,58858,3807,13616,32929,13722,28011
71965,81434,16782,13708,42196,18957,25650
86368,25293,83172,13708,87591,65794,97010
8353,65212,58888,13756,16242,63800,35623
23780,91411,39632,13844,30949,84613,33710
71993,75734,84082,13940,51542,6934,15893
4328,40311,87041,14049,93633,2422,63058
62373,2434,92694,14070,12407,77133,38528
89013,4835,97278,14128,13602,26963,45552
89231,94742,60089,14181,6718,91331,54554
49086,13838,7631,14301,65367,3832,82408
46667,40028,79959,14310,69497,82692,17555
824,58475,53322,14351,2994,52376,93705
47587,69953,81274,14441,60578,15648,54312
47455,45950,34277,14543,76609,31658,67103
29761,93156,90903,14543,25913,65563,3185
16273,1083,70646,14554,86358,48620,65724
67209,13209,39267,14554,35574,60518,9823
28668,16594,60531,14567,15598,16562,22405
25596,21303,54614,14576,73718,36998,50400
76801,12678,9402,14593,40803,67653,26106
36902,23041,70228,14675,40493,16649,1083
65801,3692,5326,14741,93491,65383,15251
6062,36476,96223,14862,36644,59937,6922
22249,74940,46101,14879,29618,35004,28258
98431,32918,93179,14897,40,17209,98943
38625,95486,55978,15062,60747,41217,38593
15428,62840,5881,15093,73051,69473,50837
45748,57301,54906,15109,91254,35412,48273
66088,31789,24226,15175,56671,12265,4216
15273,63222,19496,15418,23188,44311,1577
98261,38083,46682,15440,23510,89265,98131
5776,79527,72121,15456,81211,83225,25085
27651,10194,49580,15486,76144,49355,75277
62905,57080,68402,15514,29616,30083,38963
14920,96169,14186,15528,50668,62435,25451
35811,83668,25961,15608,54084,35331,99194
11075,25886,85601,15665,13208,54524,45473
22701,75999,34210,15716,25180,57554,4201
16718,62356,94206,15771,9635,51011,97282
16105,21177,842,15786,73617,48514,73964
29634,34982,66416,15908,41796,68564,23300
29634,34982,66416,15908,6729,57421,30684
29634,34982,66416,15908,58044,19689,32300
10895,98946,62507,16082,79674,29595,65259
33572,44426,98769,16251,18658,56711,89159
33572,44426,98769,16251,18710,49184,8475
71251,95261,30143,16288,71743,33859,80507
82231,94526,36093,16306,29608,91616,191
10769,78819,48744,16340,53391,98381,70246
64109,22864,11898,16360,75051,96764,39776
11483,25284,65656,16394,18548,59184,93474
15683,25689,17039,16395,80164,73430,75178
8365,33155,95625,16414,85501,10095,5955
26325,22286,78292,16447,88470,72793,53664
24805,97994,75490,16507,51692,52140,65099
99458,37604,46451,16507,68519,86323,62720
27193,33037,92121,16593,17516,3901,51417
27193,33037,92121,16593,72475,64979,58111
45188,35138,83791,16593,37046,40897,51939
45188,35138,83791,16593,72475,64979,58111
62445,3533,14323,16635,60292,80667,96809
62445,3533,14323,16635,82192,43788,33209
38825,26589,4284,16883,82253,74293,96895
28373,22261,71723,16946,24761,88610,47464
90341,96451,62030,16952,99008,36507,65566
68115,1576,41569,16987,88112,59568,86326
33006,41988,20095,17053,46130,31145,80138
48273,62495,75028,17057,58856,48122,62502
48273,62495,75028,17057,49272,4842,35927
72639,89298,56821,17130,82581,82656,73043
31718,8972,66414,17142,91688,31851,503
89271,49148,87838,17262,59154,7612,24659
16334,52762,62685,17267,78697,56220,36379
26927,84156,2004,17300,89813,53917,96508
80844,90539,76140,17447,60377,10217,33602
72830,37392,32390,17451,39837,2285,38619
68654,26352,63142,17483,93370,16947,67826
59393,77362,67617,17560,11581,29045,27977
59081,29053,78317,17588,15954,17540,80656
42275,41237,41883,17713,77536,54770,37906
64464,94569,12190,17774,39428,65323,79721
57228,15833,88729,17795,72909,12030,28914
57936,25115,3314,17795,3935,66135,13459
17805,68570,54055,17852,37459,72015,25615
30585,64644,61408,17871,96870,91749,53721
14289,90625,11674,17909,65951,73683,62607
35758,93199,40254,17946,93231,5027,3415
68862,6374,86203,18273,30581,6560,94401
27878,15662,36824,18280,57596,89447,43442
81456,54906,87347,18302,70098,5605,68408
17449,36049,39297,18328,67075,84914,18796
79483,57468,90967,18335,65185,84282,68503
22067,65620,42273,18348,889,6469,66062
91748,74468,36991,18402,82968,34661,65282
38454,47971,39495,18502,77977,95739,60369
86943,61754,16372,18535,6699,83494,43250
30139,98183,42183,18713,4642,4188,56980
39022,86776,79175,18837,10835,7559,78436
64053,40705,82412,18928,30981,80127,48378
90151,79437,46905,18928,4718,72005,91650
54326,66589,64859,18955,33387,71278,26445
60041,84695,72739,18956,52302,17325,52448
74436,71555,56531,18998,72405,61405,64816
42711,31655,59962,19518,64604,38663,27315
32849,56927,11517,19522,64622,10331,67535
77285,67626,58016,19605,96922,63937,16459
86544,83291,47500,19697,615,78386,6687
33515,97326,31904,19700,92077,10418,46357
8768,19075,51005,19791,12124,71286,78711
51738,27207,33599,19792,75312,54186,99741
79153,35709,23040,19807,80111,16633,45358
69621,45895,28270,19811,77622,20462,42575
10456,37753,70161,19885,39076,94152,69890
99515,28932,73096,19888,75754,55674,88021
55369,5805,15625,20024,39606,27224,22787
75380,67615,80660,20120,13050,15282,88906
45973,64934,73692,20200,360,35657,83704
73578,3302,31243,20259,34240,81379,5417
1112,80109,5526,20309,82662,17931,63088
55287,63905,5965,20309,33752,42468,35926
82436,60052,34428,20405,89699,42800,87044
589,50463,24025,20427,32857,98787,73129
76629,60941,34007,20433,19784,74299,82017
75463,81289,77158,20433,54150,87679,59390
53692,21900,54794,20547,77032,46974,21068
19148,89205,1928,20589,47228,49255,27958
19768,81070,77956,20589,76086,85383,65727
42491,52272,75833,20626,17809,57965,95283
55041,25501,97652,20711,53774,36369,23817
55041,25501,97652,20711,41116,41989,65903
90265,96130,35745,20724,92850,63202,29747
3412,13682,2720,20743,83724,31150,88430
14488,87047,66650,20820,4233,42188,58727
44895,69419,13492,20822,17791,16885,77386
74448,84219,88837,20828,45875,88303,44686
35560,74682,31351,20837,95201,2366,70402
30298,2599,97177,20844,13604,70262,67837
15418,33391,26250,20879,62771,69635,23200
9195,56591,50848,20884,88734,95854,65661
43127,34384,18938,20903,75979,95352,73121
43127,34384,18938,20903,2710,9394,31124
70051,58714,86896,20913,33862,46936,45571
65850,52417,3836,20913,2515,54780,92630
34961,10123,86844,21093,86126,50509,88583
45535,21481,50884,21118,52872,17950,9318
64973,99581,49436,21197,46638,56405,42556
18145,4999,38485,21197,96038,3091,92234
53417,77518,54375,21217,2488,45305,49106
5500,18370,10375,21626,22172,38588,41813
57595,29583,23272,21626,61777,47999,99138
56025,5330,51978,21636,37723,63222,82448
1358,24570,91770,21701,42117,29598,40720
26752,30228,40668,21784,37562,84706,4551
17036,28812,18922,21885,31372,89568,97707
17036,28812,18922,21885,66779,54638,68601
17983,33531,91888,21907,85428,97357,21799
97330,9318,80836,21929,99889,26401,29467
64221,48800,36669,21934,26609,32148,57024
64221,48800,36669,21934,56847,59047,74426
4038,79259,82486,22134,74177,71181,27212
58497,43597,27669,22153,7007,25982,69069
19697,4531,4875,22153,72485,12785,55254
371,89134,74253,22243,94468,88387,86418
97980,38008,53403,22276,28969,5250,1773
88841,7455,96318,22322,32558,6815,2011
53052,3702,14112,22361,48046,10744,22725
97494,19156,40236,22473,39565,83193,17930
72730,36136,44421,22507,3846,31147,31809
30658,76286,75567,22579,31455,135,45016
36991,77297,97655,22718,68005,50426,4272
6386,52132,73163,22718,85800,46145,66346
96172,14468,5098,22723,85800,46145,66346
40679,41548,77177,22723,91578,31547,14781
22973,77414,6468,22735,91578,31547,14781
82471,53194,4451,22828,32465,11439,23691
79883,62502,33889,22828,234,76360,67571
32348,44873,36217,22828,234,76360,67571
11600,18273,92459,22954,99000,39595,94886
11600,18273,92459,22954,18812,10687,7981
71970,59925,51219,22962,5541,27478,27398
37120,53403,26608,22971,97607,14522,6069
33961,65214,83677,22974,56452,14649,34462
35962,33887,58480,22976,72235,52098,37822
99951,70699,28225,23186,54717,94551,49772
39704,47525,7840,23190,65666,21837,98827
36867,25573,2169,23228,18121,81832,2699
66929,9808,58194,23247,17243,88815,80845
46632,56426,85285,23367,35454,39609,47052
55298,7874,79547,23418,6851,57564,13947
40968,16620,2516,23502,28595,85554,12360
41216,58692,16724,23510,7332,51598,12852
37928,2117,24655,23631,19992,38456,51075
91974,12301,91413,23660,50615,81869,98380
59510,90291,27895,23660,68582,71846,52178
51250,91655,69180,23662,68582,71846,52178
91252,63898,24583,23694,28060,86012,81229
48866,23384,13069,23753,25022,86398,67606
48866,23384,13069,23753,63242,26359,20622
78097,83390,98567,23895,3120,85890,44276
59563,45451,87371,23895,33225,40495,61784
30779,67040,64433,23907,33225,40495,61784
54845,14522,31813,24099,71570,97854,78745
49400,85248,30592,24139,17692,14280,59730
49400,85248,30592,24139,26876,78999,40974
51134,20126,26806,24182,63696,97767,44021
57832,53535,7470,24478,94080,77731,25796
67580,27493,83554,24478,19041,90765,96888
14405,14174,53542,24599,71606,65721,8769
1820,17782,72960,24630,2002,30429,77386
58567,35804,38770,24665,38305,83924,51503
62848,7138,63050,24868,79878,81830,14736
85078,87289,49974,24935,27564,49490,47598
48817,84718,18992,25018,51041,52107,74347
30428,48219,65432,25087,32408,77426,83080
97268,300,73147,25139,11023,93961,34544
25462,59501,83608,25207,89628,29253,3313
23173,93895,72753,25207,17253,83886,27372
85030,11983,45309,25257,2689,77618,14065
39739,84997,54027,25422,3237,78832,52354
88931,34843,98476,25456,15728,62927,87960
55408,70234,71923,25458,38063,80260,94610
43384,77201,36709,25467,34372,55646,17476
70078,20575,2938,25731,16265,27932,41694
44692,40769,21117,25751,54143,82256,15400
24704,46320,96549,25781,63972,70881,11852
24704,46320,96549,25781,57507,26192,94329
449,25194,28517,25790,99592,73937,24447
38058,26095,94048,25792,68061,64377,42214
38058,26095,94048,25792,59960,80861,20132
6616,26411,72866,25936,19597,99333,74915
91878,37929,95247,25977,24914,17904,13762
13165,38438,12415,26010,53755,66363,20773
84329,30203,16191,26095,44545,67267,23789
26124,40527,45129,26106,67327,25196,14972
82898,60384,43688,26106,2781,77711,95956
27749,87685,87948,26106,2781,77711,95956
84061,70268,59975,26171,54609,66913,52270
31359,40691,2140,26217,54744,87531,43146
42339,77370,66787,26234,27407,79396,74047
33464,86297,91610,26355,60960,69141,38985
60302,55883,59583,26355,63327,69199,63494
66220,62454,73631,26406,63327,69199,63494
33038,23238,62028,26454,65150,38631,91554
95434,77088,63178,26531,40175,94729,23905
30971,92143,82517,26545,26208,99203,22678
50847,82214,82488,26545,71559,12985,12846
55272,62140,90574,26609,16940,42233,44854
33489,60442,18808,26672,26534,78941,47205
84831,95414,4121,26718,22044,22079,70809
22313,99307,53595,26758,93894,50958,41468
81125,77036,45986,26981,58212,70981,59265
2846,27231,62249,26984,82218,60589,45111
28899,86902,75371,26996,93509,67293,39179
80066,31293,62868,27013,14490,68711,55584
68483,18547,49465,27070,63222,78660,30982
94956,67947,65464,27090,16050,63885,42796
40108,33417,77587,27097,99535,97523,17107
82294,44108,75776,27126,47123,4546,22816
24467,87518,38199,27135,2095,60641,91898
12679,53941,34128,27137,10238,91579,64500
97067,8094,30420,27145,63811,50874,6146
47058,1450,51016,27206,59781,91539,66541
88331,47112,6009,27244,9140,70892,871
60574,22747,28570,27272,11731,47186,16461
75170,31612,36257,27295,75238,27512,15744
15532,548,67157,27348,72178,19652,8994
90089,37313,76715,27349,90385,64922,81389
76891,51928,76682,27367,81304,98372,98959
87180,48913,40428,27367,35915,47937,28815
37481,1104,7721,27376,49079,39995,11097
64063,15752,18480,27423,26869,82529,50664
5355,24804,29854,27428,68365,17201,93269
40907,9607,74292,27481,84702,64422,3120
87293,19427,71683,27484,31916,33073,3499
59712,24226,57604,27610,26887,71109,55095
65017,6005,40799,27650,8117,43146,28268
83373,72153,77753,28011,48648,52758,68680
51648,74819,89127,28157,49756,30270,31930
86670,70421,13204,28171,38260,35688,70025
17399,53183,93767,28231,9273,10798,38750
69113,34087,83208,28369,61990,75651,21030
45115,63918,52148,28416,75751,37914,33895
51810,91388,77935,28529,28012,19868,47975
96525,65257,91886,28536,68563,46753,94733
3717,99095,62038,28562,78516,5517,74858
83234,43087,39424,28563,37006,79762,33125
34405,57849,301,28635,51792,42060,97906
62812,29226,74832,28732,63507,75506,3647
73355,2719,65650,28732,37828,82487,89906
8975,80886,47428,28742,37828,82487,89906
8975,80886,47428,28742,94746,33295,26198
59721,72862,31674,28798,79129,24811,7340
83358,68548,99250,28876,38549,49634,81273
86154,40965,83011,28881,65217,60592,79943
38409,2738,88221,29067,56928,72642,29631
62154,14937,49972,29074,28516,67621,28937
92685,6540,64008,29183,87645,31238,30836
18664,48733,4625,29264,8504,97875,61566
90270,57726,65458,29473,56974,78698,76902
90270,57726,65458,29473,72329,22663,36200
18120,1374,56134,29486,26306,77564,24317
17611,80949,75193,29623,95889,16838,6326
16719,29046,4071,29670,36753,36340,63908
39942,19614,34801,29673,23375,86941,92510
64157,36335,45856,29952,43314,7680,98717
2076,94903,62382,29985,20247,5738,75691
97091,47247,10075,30012,92976,11158,46773
17901,71094,52465,30040,69422,21815,25655
73796,38240,6581,30064,55276,78010,93713
97342,45920,6945,30099,30844,92780,41945
8926,33186,56332,30130,93910,37624,9049
9696,10267,95330,30140,24233,98473,59787
91237,44869,72425,30171,92972,16120,66944
78209,31477,90868,30171,35202,36901,87234
54639,20671,53844,30238,38196,28521,88164
17417,95073,95881,30304,57056,18650,51382
48402,80698,14137,30373,14006,26384,66739
15532,12368,83759,30483,87178,91180,7441
59525,96332,76896,30495,3322,34942,54735
7287,80848,11230,30639,44235,76208,30963
26298,54925,44683,30658,10174,29225,62826
47742,42420,3937,30719,45935,48152,66153
89510,58641,45728,30791,58466,2730,74165
61708,68155,3883,30913,31689,31644,68502
38694,39778,67245,30913,36227,95825,20389
68993,77939,85230,30940,98736,72618,90576
44737,54471,90058,30947,99545,24582,64975
41487,41535,42854,30949,18060,37163,50731
88617,29959,67078,30954,76026,34573,67282
85516,93088,5262,31031,90581,12180,89722
21948,57236,35529,31052,40189,28331,65210
88432,35977,99777,31196,73979,10120,80052
6157,16282,6320,31198,94103,10476,49667
46554,63955,75880,31225,389,20445,30769
76507,42089,93950,31379,78841,34475,51568
79535,31039,43844,31416,30057,23056,96429
73465,4264,29472,31423,36532,36551,81741
78345,63419,38197,31788,87547,61381,68533
7112,66030,8608,31876,11750,36501,44462
35730,11784,80582,31898,64382,85209,15999
17394,57906,85586,32026,44637,79407,50913
96869,86549,32388,32043,91756,45233,89822
85627,8845,14789,32211,52920,51315,34820
26707,37926,64736,32277,26206,56354,47059
