B0,B2,B3,B1=B2,B0,B1,B3
29044,8433,29344,85204,35459,13752,75825
91729,17734,8408,33121,16472,83279,44079
15045,74531,52537,27790,54344,44757,89473
13726,56331,55860,56205,28386,5161,78257
20064,86453,6343,56205,28386,5161,78257
22476,43862,44127,10989,93773,46622,871
24794,25206,13691,27328,20002,74937,44538
58884,26915,29285,85912,65058,43757,3698
46374,80283,18426,43172,64539,58494,23614
38530,14918,45250,40655,96061,39040,95719
55726,98466,63776,58894,28133,35259,11364
35725,82998,89278,92485,28186,91698,94294
44575,82207,53584,66921,20659,23279,84616
46903,21797,71144,86482,35906,23837,3008
85045,45030,26221,49190,3667,34462,68727
61750,11971,11329,50670,79416,93701,69865
70834,77988,96966,55099,24619,32595,38486
40228,25947,22771,78867,9367,89649,13838
65300,52472,69738,32388,56360,13740,84596
88518,20368,43698,96126,17608,47681,51688
89297,96863,99817,35269,79355,50214,26317
62644,29974,84593,97559,88515,79655,72279
54767,38190,36477,72609,97363,57173,50173
44799,46040,63192,9215,31954,64437,47765
42,75694,21446,53442,2473,48691,10899
91162,17897,59783,4881,94517,96886,31275
17780,91896,79323,6695,87396,79500,82283
76906,6565,21254,27574,66038,50042,33905
13888,15019,76442,23962,10817,27260,60266
76440,16177,55010,41840,29631,46779,81553
72115,54083,19719,90159,63287,10532,79698
65779,27114,29487,26955,52045,89874,2014
81008,87883,18317,16252,2111,31621,53757
95734,42642,74480,60875,46427,73232,99844
70677,31829,67890,91682,22334,51890,41866
82200,3047,91240,10285,24321,33427,43452
26821,40189,66368,63688,28566,28475,8216
40253,97541,89549,73964,86936,49550,88493
40198,73027,69608,91816,83670,41992,80994
21578,17974,66242,39182,13989,39878,29364
24421,4849,94953,36213,67228,64651,11734
25003,50269,18273,66631,65051,82213,72674
71916,79838,87346,2764,69288,33142,60891
1266,88926,43193,25570,88678,8572,83886
30853,26738,67848,49209,1338,12306,28492
6587,569,63837,91931,35186,99712,97592
19983,132,49821,28757,9775,55437,56368
1366,4003,71330,22559,4519,27646,64316
61163,39804,20035,40783,69037,2438,32668
18021,30181,78289,94422,52681,79988,80695
35276,61405,72188,1415,18347,47540,58404
46704,13668,45747,28044,52444,91279,50438
47995,45661,6199,78729,42387,50058,45607
81215,20844,23253,80851,87724,88023,83666
7211,3826,95783,97442,21790,33169,30021
43618,76955,52473,38502,8743,88021,39956
88589,63275,78427,88440,54792,93268,45230
47823,72095,96474,17058,81769,84148,57640
42882,77992,84470,41477,86645,16830,96489
90018,86145,5327,17389,37542,49913,31860
50902,45102,53274,4860,26279,72787,81467
41358,94668,50643,27773,56041,41385,68197
92376,81125,42316,52596,62574,70372,47616
84156,60844,84305,22863,95988,65751,5358
35205,70049,41699,40595,94548,84301,54142
47106,89201,53151,25814,11331,49134,96504
5570,34485,53323,35098,67008,92637,27213
69877,80382,47077,87223,90587,62077,92765
78297,69824,2648,26323,50382,80371,87426
73156,51669,5672,17824,7407,16227,46084
96552,70964,26985,87424,20486,9930,54442
37697,43133,83686,262,89743,37488,92347
72693,91013,18659,13187,10379,76093,93196
98322,99924,71141,19070,35611,15312,94601
60655,25225,78605,1575,77761,8532,64585
16820,51531,69322,47863,38565,54383,41720
63814,47536,24440,74022,25551,23796,25130
42071,96183,2517,24247,44871,65153,37740
78946,3124,29383,83431,44515,10004,75754
10114,63256,47525,19316,18661,99465,58238
60028,48910,43260,29513,17448,30513,12054
54734,74000,28257,26610,5721,34490,60629
35227,45973,71089,72745,16672,91708,14077
51390,85466,46754,29741,36005,95663,46970
72057,17995,66972,64928,60119,58609,87343
67886,49318,14827,3933,8765,96925,82750
64699,91162,95430,410,4328,27304,868
37314,89527,73163,51200,55943,86240,66756
89301,32175,25026,55719,81812,53881,20915
80026,30661,62596,19688,5752,67391,43132
48784,71743,58377,37319,22536,73285,99768
46394,74613,94677,70571,19401,69445,44808
25792,10966,60271,27868,76927,38687,15573
70399,9559,59757,94527,68534,11774,66009
41147,93557,506,36178,45050,36781,5340
96836,92062,20988,36178,45050,36781,5340
28065,35428,86790,29786,98861,36859,97124
55586,84439,15736,53161,62175,51042,82236
92144,28971,37144,55002,61873,49705,87557
35788,92624,24262,52875,28595,83873,9339
70906,79396,11496,84894,89598,30762,58104
50742,55484,66524,96657,37934,40635,99164
14912,60209,38373,90937,65355,42767,10420
24649,20285,84425,87080,3267,35463,37630
39910,65561,10326,32679,24166,13235,88242
20493,31055,19891,8691,35623,22715,29566
33363,40531,35031,47874,16199,74408,90502
37100,5660,47240,22559,4519,27646,64316
73997,93025,28721,48376,16383,23766,24316
94027,56585,92040,86660,75700,59690,42315
73085,74621,90385,16431,91333,64006,44039
33320,58157,29759,76236,5444,73361,78012
44818,8755,33725,81497,32242,93956,15751
27826,93895,32665,88645,6950,10636,45181
29154,41279,79059,66653,2946,15209,26707
18420,42698,62076,2609,88186,42241,43943
44706,37365,72411,64086,30201,27541,93989
89827,50109,91743,86217,45370,96399,60523
61533,42015,18778,71170,21098,33203,58750
18420,42698,62076,2609,74213,38977,13125
37392,41528,41777,30181,18021,94422,78289
73028,89144,33055,65042,10393,9850,7239
12764,91940,95324,46408,56955,90065,12477
41518,63524,59468,68965,64130,2833,48483
18514,28754,26482,30345,60342,70762,78259
48334,33404,27074,9377,21966,13838,35394
8607,63606,17201,98133,77050,86635,34169
59309,79132,74118,67298,24741,11197,66448
77116,19162,52422,89806,78563,83186,71338
75081,64604,17111,54871,96416,4031,66996
73166,53,68685,78184,48591,59761,91694
40311,83668,25830,49087,92752,27734,17377
21909,32296,57430,59030,45731,58124,10583
54207,20579,86905,2628,23302,74448,83950
6378,52666,83485,72446,72968,36066,96367
78420,52985,88520,19942,58572,99401,46141
53801,57022,476,15100,69080,18582,64713
39950,34446,2006,70963,75870,41138,20493
90076,91269,75848,70009,6868,14976,33174
65674,55542,76079,52789,28442,45171,23452
68070,85927,70685,39624,68562,3447,68287
5519,93125,64215,93702,3243,27507,21422
89554,42093,83818,60464,29093,43742,47896
98213,98465,71198,45015,10739,1905,49200
86750,10904,60623,63813,69314,70469,21449
89012,47364,24374,51527,58712,87059,56163
21218,1173,77490,73390,87372,55511,29821
86750,10904,60623,63813,76035,2725,20420
96403,40239,55968,77440,53147,2617,29280
77662,53952,83141,41459,93885,1665,12847
67551,94340,69400,5480,7213,45502,14110
34168,37748,59216,19087,81666,37419,60838
22961,36053,64287,17047,96269,4899,76590
53147,77440,29280,2617,91467,274,25127
65402,89802,97798,55227,82510,20811,46633
62320,31923,78795,55227,82510,20811,46633
41644,74980,29044,79102,14763,63189,7644
99180,93103,62333,93134,67636,14960,35175
5555,29070,43748,85446,63456,45294,54481
2076,34506,56698,39784,29605,31596,32106
33846,78080,99709,58960,69280,70357,48148
95918,1230,62202,81715,13342,4590,11070
