A0,A1,A2,A3=E0,E1,E2,E3
79158,87123,36777,3371,51839,496,39840
21793,3213,38742,72718,30035,1596,19106
71016,68797,46717,55191,16904,57587,78532
26267,25986,22894,5972,39960,70385,17273
71016,68797,46717,55191,20462,84939,28050
52693,35394,27400,40902,98144,3746,70385
52693,35394,27400,40902,85121,87536,69601
46125,88466,53541,20629,98657,31680,20864
73137,85977,57054,85419,26857,79665,32180
83993,67930,99540,35667,64493,73782,75975
9446,90235,94446,66874,51569,85480,92781
8852,9797,90566,80388,84448,50959,54132
75625,80280,11027,93500,7957,78552,3212
28995,96060,43166,97769,7311,98005,18666
67924,8008,977,27552,22868,38205,83888
72785,98255,69929,88552,61518,68332,67675
2227,16433,35712,48986,45462,3665,27324
84769,67742,12114,64434,59966,4286,97348
25079,9564,46273,87033,18269,18414,17642
22302,67541,85406,34198,52262,51571,30646
62365,35626,43641,79968,98994,30461,31421
62365,35626,43641,79968,44948,45381,12162
71389,78621,85129,51304,82753,70396,90372
54491,89256,24738,29035,5769,68862,49425
16263,54917,17188,36510,87449,69826,53475
90340,32232,92166,49738,13786,92592,89417
98999,80848,38684,21582,68263,73954,4305
11499,36367,2367,36746,91576,41103,22075
91959,79644,76810,48315,23349,33705,8594
16285,49165,80467,70326,98540,54558,9373
314,68587,72947,43640,73780,54235,43626
61600,49584,15530,42426,96738,92497,90255
1621,54572,65077,55279,60915,48794,5404
78687,16463,26745,19884,70736,25182,42613
62365,35626,43641,79968,25434,25692,21169
33896,59082,69919,61892,73282,20565,53733
30901,67116,32200,53738,46765,44795,40324
12969,86513,93146,86259,50332,56594,6264
24504,79437,93057,70159,6256,67228,37737
71932,85325,53691,37722,16120,42259,687
763,9290,79233,53138,69948,46919,63269
97817,68633,83705,35836,34006,64316,78641
55634,42072,39409,31797,28859,46706,4539
91959,79644,76810,48315,58723,26103,12603
52693,35394,27400,40902,12376,97218,27053
1430,79302,24666,57584,73589,46644,43332
55634,42072,39409,31797,89096,9754,42159
72785,98255,69929,88552,26834,77925,5248
21793,3213,38742,72718,36816,45152,16883
81297,8608,94497,71007,13396,14002,31072
68723,3423,99747,51448,87764,64650,95940
98999,80848,38684,21582,29158,74215,64713
84769,67742,12114,64434,76623,77864,67025
79158,87123,36777,3371,7755,17407,95605
89971,18043,11551,93904,78772,87960,76828
81297,8608,94497,71007,41102,22382,94847
53156,10562,19028,8051,73390,56705,6080
11499,36367,2367,36746,34139,58017,6628
51156,62189,9256,90814,3032,7018,34420
72230,74779,85838,94414,35060,10174,2600
3132,34170,67492,64587,15460,55137,1239
40946,82483,39819,53091,25810,63891,36878
52115,12583,94499,40158,79196,17505,95499
91365,28839,65023,26175,37953,62220,65737
34434,95134,30208,39111,4166,58949,26965
67729,37074,39865,72748,17699,55084,87306
84769,67742,12114,64434,3178,15371,60356
16464,56500,11508,93737,11824,50596,41770
90340,32232,92166,49738,93595,91026,43300
74479,73428,25869,26680,45445,40609,22648
39649,65044,97410,95336,84865,29915,9437
40946,82483,39819,53091,6112,48016,41879
63690,57099,41860,55848,19150,88462,2315
61783,21385,17570,51986,27882,82568,65263
16285,49165,80467,70326,27079,10748,82419
53826,22401,23973,93739,40144,66943,26575
24504,79437,93057,70159,98226,15838,20770
55752,31894,46510,28635,39941,89627,38300
67924,8008,977,27552,71276,16733,40332
57172,70856,57129,53694,49921,13169,4373
34434,95134,30208,39111,43181,86830,63722
71932,85325,53691,37722,96194,46050,99261
6271,39262,80143,24145,76660,16754,9426
11943,39716,7172,43769,45074,46029,6563
24504,79437,93057,70159,30342,38463,69387
98016,43832,20629,83546,56539,85236,41573
68723,3423,99747,51448,36673,41473,62050
5792,59048,75585,2198,730,14877,70010
5792,59048,75585,2198,9794,48043,22383
67924,8008,977,27552,58274,1202,19560
78873,49754,6274,12025,88365,62686,22205
29560,84389,13067,69750,57366,61751,29335
59996,46923,61712,58168,72782,80641,92445
3132,34170,67492,64587,11008,98322,35631
24467,81204,43355,84155,22271,15440,55247
3097,73993,18850,24161,83923,89315,20661
89971,18043,11551,93904,14519,82373,94085
65090,5500,40407,59107,96210,77627,47672
99027,37781,42543,15686,9903,54599,1239
30557,5056,8556,55183,90633,85743,6226
62365,35626,43641,79968,6915,72051,84399
64964,30637,78876,77171,80042,35438,71358
53156,10562,19028,8051,93987,22089,53059
24713,38290,26643,41895,22994,79486,50315
